"Interval start","Filtered packets"
0,494504
1,531776
2,456888
3,465760
4,539224
5,40232
6,0
7,0
8,0
9,0
10,1888
11,0
12,0
13,0
14,0
15,1216
16,0
17,0
18,832
19,0
20,0
21,0
22,604304
23,1.04655e+06
24,890832
25,1.26744e+06
26,1.03347e+06
27,1.38524e+06
28,1.03609e+06
29,1.59354e+06
30,1.64367e+06
31,1.77098e+06
32,1.15643e+06
33,0
34,0
35,0
36,0
37,0
38,832
39,0
40,0
41,0
42,0
43,0
44,1216
45,0
46,0
47,0
48,1056
49,832
50,0
51,0
52,0
53,62792
54,749952
55,1.02082e+06
56,918736
57,820744
58,1.06568e+06
59,1.05026e+06
60,1.31779e+06
61,1.04904e+06
62,1.46494e+06
63,1.24618e+06
64,605424
65,0
66,0
67,832
68,1056
69,0
70,0
71,0
72,0
73,1056
74,384
75,832
76,0
77,0
78,0
79,1056
80,0
81,0
82,0
83,122056
84,345104
85,342760
86,505240
87,488520
88,856464
89,649688
90,1.26067e+06
91,1.41822e+06
92,1.62491e+06
93,1.62614e+06
94,1.71648e+06
95,1.84689e+06
96,1.77034e+06
97,1.71946e+06
98,1.90182e+06
99,1.93424e+06
100,1.82086e+06
101,1.58271e+06
102,1.70872e+06
103,1.68286e+06
104,1.68924e+06
105,1.73507e+06
106,1.64799e+06
107,1.67401e+06
108,1.85554e+06
109,1.74318e+06
110,1.61262e+06
111,1.54273e+06
112,2.04573e+06
113,1.76239e+06
114,1.66069e+06
115,1.66426e+06
116,1.66989e+06
117,1.73385e+06
118,1.70373e+06
119,1.89171e+06
120,1.68883e+06
121,1.7668e+06
122,1.70037e+06
123,1.62742e+06
124,1.69545e+06
125,1.75317e+06
126,1.8076e+06
127,1.82615e+06
128,1.69966e+06
129,1.74622e+06
130,1.5771e+06
131,1.70256e+06
132,1.51934e+06
133,1.84419e+06
134,1.61526e+06
135,1.16993e+06
136,484408
137,1.74337e+06
138,1.77049e+06
139,1.70556e+06
140,1.72806e+06
141,1.75078e+06
142,1.79558e+06
143,1.69359e+06
144,1.66148e+06
145,1.78142e+06
146,1.70013e+06
147,1.71019e+06
148,1.77671e+06
149,1.63717e+06
150,1.77485e+06
151,1.70928e+06
152,1.81611e+06
153,1.78489e+06
154,1.6233e+06
155,1.66836e+06
156,1.6949e+06
157,1.65819e+06
158,1.8209e+06
159,1.66604e+06
160,1.76268e+06
161,1.63259e+06
162,1.61894e+06
163,1.63636e+06
164,1.6644e+06
165,1.89713e+06
166,1.63073e+06
167,1.64218e+06
168,1.79495e+06
169,2.0024e+06
170,1.63861e+06
171,1.66293e+06
172,1.80287e+06
173,1.72141e+06
174,1.53202e+06
175,1.64979e+06
176,1.83565e+06
177,1.6814e+06
178,1.65247e+06
179,1.54558e+06
180,1.92335e+06
181,1.69728e+06
182,1.74423e+06
183,1.75623e+06
184,1.70917e+06
185,1.64693e+06
186,1.64791e+06
187,1.75243e+06
188,304936
189,1.42166e+06
190,1.72942e+06
191,1.63627e+06
192,1.71377e+06
193,1.76257e+06
194,1.67575e+06
195,1.66531e+06
196,1.72792e+06
197,1.6645e+06
198,1.65313e+06
199,1.67729e+06
200,1.75927e+06
201,1.72476e+06
202,1.66558e+06
203,1.7027e+06
204,1.73086e+06
205,1.77571e+06
206,1.66764e+06
207,1.68628e+06
208,1.72336e+06
209,1.634e+06
210,1.75228e+06
211,1.78243e+06
212,1.78198e+06
213,1.60214e+06
214,1.74779e+06
215,1.65994e+06
216,1.848e+06
217,1.75327e+06
218,1.93953e+06
219,1.74694e+06
220,1.62658e+06
221,1.71067e+06
222,1.75726e+06
223,1.76074e+06
224,1.71895e+06
225,1.65029e+06
226,1.81294e+06
227,2.02638e+06
228,1.45055e+06
229,0
230,832
231,1056
232,0
233,832
234,0
235,0
236,1056
237,832
238,0
239,384
240,0
241,832
242,0
243,0
244,832
245,0
246,1056
247,0
248,832
249,0
250,0
251,1056
252,832
253,0
254,0
255,384
256,1888
257,186392
258,965488
259,1.4791e+06
260,1.67256e+06
261,1.55717e+06
262,1.82417e+06
263,1.79541e+06
264,1.8935e+06
265,1.8151e+06
266,1.73299e+06
267,1.91033e+06
268,1.84202e+06
269,1.96832e+06
270,1.66439e+06
271,1.81562e+06
272,1.93326e+06
273,1.79589e+06
274,1.82891e+06
275,1.4999e+06
276,1.78684e+06
277,1.93665e+06
278,1.70374e+06
279,1.59209e+06
280,2.02752e+06
281,1.79537e+06
282,1.68223e+06
283,1.78574e+06
284,1.65873e+06
285,1.93338e+06
286,1.72138e+06
287,1.71187e+06
288,1.59965e+06
289,1.54891e+06
290,2.08601e+06
291,1.75273e+06
292,1.86698e+06
293,769088
294,0
295,0
296,1056
297,832
298,0
299,384
300,0
301,1888
302,0
303,0
304,832
305,1056
306,0
307,0
308,832
309,482864
310,858264
311,1.33846e+06
312,1.16278e+06
313,1.84708e+06
314,1.72285e+06
315,1.75562e+06
316,1.6142e+06
317,1.78861e+06
318,1.0157e+06
319,649440
320,1.64214e+06
321,2.05258e+06
322,2.12575e+06
323,1.84258e+06
324,140328
325,0
326,0
327,0
328,1056
329,0
330,384
331,0
332,0
333,1888
334,0
335,0
336,0
337,1056
338,0
339,0
340,0
341,0
342,1056
343,0
344,832
345,384
346,125704
347,203216
348,246496
349,272912
350,433560
351,693664
352,479936
353,977848
354,1.0583e+06
355,991672
356,733368
357,976504
358,941056
359,923896
360,1.03333e+06
361,1.06609e+06
362,1.17498e+06
363,985552
364,1.2782e+06
365,1.13482e+06
366,946504
367,1.19794e+06
368,174752
369,0
370,1056
371,0
372,832
373,0
374,384
375,1888
376,0
377,0
378,0
379,832
380,1056
381,0
382,832
