Test,P2C (s),G2P (s),P2C  (ms),G2P (ms)
1,0.233,0.581,233,581
2,0.465,1.361,465,1361
3,0.112,0.291,112,291
4,0.289,0.466,289,466
5,0.104,1.813,104,1813
6,0.112,0.291,112,291
7,0.233,1.221,233,1221
8,0.264,0.634,264,634
9,0.059,0.638,59,638
10,0.266,1.233,266,1233
11,0.869,0.956,869,956
12,0.059,0.752,59,752
13,0.2,1.685,200,1685
14,0.465,0.361,465,361
15,0.28,0.241,280,241
Average,0.267333333,0.834933333,267.3333333,834.9333333
