Test,P2C (s),G2P (s),P2C (ms),G2P(ms)
1,0.212,0.41,212,410
2,0.291,0.35,291,350
3,0.525,0.175,525,175
4,0.173,0.876,173,876
5,0.291,1.105,291,1105
6,0.292,2.232,292,2232
7,0.259,0.371,259,371
8,0.32,0.644,320,644
9,0.04,1.455,40,1455
10,0.175,0.407,175,407
11,0.016,0.391,16,391
12,0.017,0.332,17,332
13,0.217,0.45,217,450
14,0.174,1.468,174,1468
15,0.178,0.651,178,651
Average L,0.212,0.754466667,212,754.4666667
