Nov 07 22:59:26.514  Config           0x000C  RB Meta 02QJ       Connected: 98:59:49:EF:B7:98 - Handle: 0xC - RB Meta 02QJ - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 0C 00 98 B7 EF 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 32 51 4A  
Nov 07 22:59:26.514  Config           0x004A  RB Meta 02QJ       Connected: 98:59:49:EF:B7:98 - Handle: 0x4A - RB Meta 02QJ - 86265FFC-8B17-B70F-35A4-871F42F15702  01 4A 00 0C 52 42 20 4D 65 74 61 20 30 32 51 4A 98 B7 EF 49 59 98 86 26 5F FC 8B 17 B7 0F 35 A4 87 1F 42 F1 57 02  
Nov 07 22:59:26.698  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 35 8E E6 75 C5 23 CF 51 03 7D B8 93 28 03 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 35 8E E6 75 C5 23 CF 51 03 7D B8 93 28 03 84 A4 C0 04 B6 97 A2 01 BA FD 2C A9 61 4B 8C E9 A7 92 D7 AD D3 3D 74 FD 67 8E 5C BD 72 CA E4 9F ED 9F 02 E7 E4 51 16 61 79 1E 2E A0 67 60 C4 E3 D3 D8 CF A0 51 62 5D DD DE 61 DB  
Nov 07 22:59:26.728  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 1B 3A B4 D5 A7 A8 0B 3C 03 52 B9 4D 35 28 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 1B 3A B4 D5 A7 A8 0B 3C 03 52 B9 4D 35 28 24 5A 3C 95 E3 07 F8 D5 A0 4A 1A FF 36 9A 89 DC 20 DF E6 F2 DF FB F0 B2 4C F5 AD 66 96 CE C1 06 15 5A 00 D9 7A CF 78 97 E7 2F 84 E2 9C 60 1A AD 9B F8 C2 3B C4 FA 6A 32 75 E2 D3  
Nov 07 22:59:26.757  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 69 2E BC 59 45 05 8D 62 03 00 70 6C 94 A7 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 69 2E BC 59 45 05 8D 62 03 00 70 6C 94 A7 BF CF 6F 27 55 D3 75 C5 2E D2 B0 20 EF 21 6F 68 EE D9 D5 0C B8 BD 91 96 CB BE 12 69 34 BE C0 93 9C 8A D3 CF E2 E7 FA 16 A3 3A AE 90 65 5E C5 53 06 32 F7 27 E5 FE BB C7 4E C2 63  
Nov 07 22:59:26.759  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x003B (59) [ 39 00 97 B3 32 55 2F 46 9A 89 02 9E 1C 82 52 E0 ... ]  4A 20 3F 00 3B 00 4A 00 39 00 97 B3 32 55 2F 46 9A 89 02 9E 1C 82 52 E0 3E 5F 03 FC 87 4D D7 37 76 42 8B A7 BC 88 2D 69 8C 87 CF 71 CC 53 C5 FA 4B 14 47 AA 14 9C 4C D7 67 76 58 FF 7C B0 A8 F2 06 6D B9  
Nov 07 22:59:26.759  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 DC D4 E4 B7 AA 3B 89 02 03 5E 97 43 01 C0 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 DC D4 E4 B7 AA 3B 89 02 03 5E 97 43 01 C0 BD 4B E7 EE 69 AF EE EE 4A A7 C1 2E 9F FC 0F 94 33 BA 78 B9 E0 E6 8A 6F 7B 24 E6 67 75 0C 36 74 7A 62 FA 6B 34 9A 6F E0 BC 14 B6 00 EF 62 F5 84 BF 17 A0 6D 1F B6 95 61 39 A1 77  
Nov 07 22:59:26.787  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 4E 90 0D 1D B1 87 67 67 03 4A B4 8E E2 2B ... ]  4A 20 4F 00 4B 00 4A 00 49 00 4E 90 0D 1D B1 87 67 67 03 4A B4 8E E2 2B 2E 25 EC BD C1 7F B8 0B D1 F8 2B 69 36 9D C9 70 8D C1 99 95 CB 90 A2 C7 F1 D1 41 E9 AD 51 A6 65 ED DE 14 24 1F 79 9A 72 33 54 38 C1 79 7C 44 B5 32 D5 18 C4 63 12 D2 0D 27 70 E6  
Nov 07 22:59:26.789  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 53 B1 2A 42 5B 78 3F 8C 03 EE 83 D6 B6 2A ... ]  4A 20 4F 00 4B 00 4A 00 49 00 53 B1 2A 42 5B 78 3F 8C 03 EE 83 D6 B6 2A C2 18 8E E8 A6 4A C1 CF 00 EF 04 90 29 8D F4 54 77 CE 4F 2A 6D 00 23 4B E9 86 C5 9B 74 D7 3E 48 FC 75 DF 43 44 6B 23 D5 49 BE 63 14 C0 9B A5 E0 04 29 2F 11 03 12 ED E5 F5 F0 E9  
Nov 07 22:59:26.847  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 62 59 5E 68 0F 17 C3 0F 03 37 91 59 F6 A0 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 62 59 5E 68 0F 17 C3 0F 03 37 91 59 F6 A0 AE C1 2F 9A 3F E8 70 92 F0 07 4E 88 C1 A4 2B 3E EA 5D E6 B9 12 B5 46 E0 26 19 ED 9B 81 70 B0 68 B3 EF 0F A5 55 6A 33 5E 13 02 67 D9 D3 A5 69 DB 7A 11 89 A6 1D 6A 78 A7 5C EA FD  
Nov 07 22:59:26.848  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 A4 91 FB 67 15 B6 28 DB 03 C9 9B A9 1E 4D ... ]  4A 20 4F 00 4B 00 4A 00 49 00 A4 91 FB 67 15 B6 28 DB 03 C9 9B A9 1E 4D F2 52 ED 21 70 9A 79 E9 98 E6 FA 67 15 FA C8 AA 2A 19 4B D1 A1 0E B6 E4 26 0F 30 A6 C3 80 7E B0 72 11 95 29 11 40 B2 B8 65 59 30 74 F8 A3 2B AD 0C DD DA 03 7A C8 8F 45 D2 F8 02  
Nov 07 22:59:26.877  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 B0 AC DF 8D 00 CE D3 F1 03 A5 49 B2 D7 AC ... ]  4A 20 4F 00 4B 00 4A 00 49 00 B0 AC DF 8D 00 CE D3 F1 03 A5 49 B2 D7 AC 4E 34 5D 9C 71 B1 4C 2A D7 9E E5 14 F1 52 D0 C7 5B 5F 9C E2 3A 62 26 3A 0E F2 B8 47 21 2C 6B FE 89 BE 22 89 5C 56 07 F1 2A D1 8F 02 52 66 73 7F 10 27 86 CB 6B 65 86 C4 1C ED 4A  
