Nov 08 00:11:48.591  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:11:48.591  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:11:50.305  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 7F B6 10 32 1A 79 58 0B 07 68 C9 6D 0D F6 ... ]  42 20 8F 00 8B 00 48 00 89 00 7F B6 10 32 1A 79 58 0B 07 68 C9 6D 0D F6 F5 C4 4A 1A 19 23 00 A9 F9 7F EC 33 C8 5F 6C 26 8D 72 60 5D F4 28 D2 99 B0 6C FC F2 F8 4F 46 C6 BB 3A 05 DC 3C 86 B6 93 EF 38 29 58 66 53 38 58 34 31 AA 67 15 50 27 78 E2 46 F9 26 75 2A 4A 5D 54 8A 35 1F 70 2F 1F E3 C5 5A 7C 6A 8C E0 4B D5 17 FD 92 24 D7 4B 99 1C EC 42 96 E7 47 FD 8C C5 52 AA 0C 53 9C 50 EB 26 AA 40 BD 41 E3 CE 10 A6 43 B5 44 A9 9B 13 03 D5 CD 75 9A  
Nov 08 00:11:50.307  ATT Receive      0x0042  RB Meta 000X       Handle Value Notification - Handle:0x002A - Value: 00  42 20 08 00 04 00 04 00 1B 2A 00 00  
Nov 08 00:11:50.336  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 EA 34 E5 E2 1F 7D 28 F4 00 AA 5A 2D 6C A4 ... ]  42 20 1F 00 1B 00 48 00 19 00 EA 34 E5 E2 1F 7D 28 F4 00 AA 5A 2D 6C A4 9A AC 55 14 D8 2A DB E9 E0 26 B6  
Nov 08 00:11:50.367  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x009B (155) [ 99 00 86 4F AE AC 9C 28 1B 76 08 A9 C1 DE 25 66 ... ]  42 20 9F 00 9B 00 48 00 99 00 86 4F AE AC 9C 28 1B 76 08 A9 C1 DE 25 66 67 C1 21 A3 A0 4A 8A 4C B8 DD 30 83 35 30 81 F8 91 74 EA 6D B9 09 E1 AC 55 9F 5B 7A E1 10 03 82 F6 46 BD 9F D4 A2 4A 33 CA F8 F0 D7 65 D3 04 3A 00 B4 8B A7 00 14 28 C4 EF 26 D4 C9 B3 75 8D AD 2D F0 01 9E 36 4C A4 1A FE 22 18 66 B5 B6 E0 D2 1C 9E 6F BA 79 32 AF 76 1E F3 54 B3 0B CF 14 11 A0 75 7D 4F D9 7D 37 5E AF ED 11 4C 5F 00 C3 6F 29 7F 39 C7 4D 70 39 DD 68 B1 19 C1 74 3D 32 65 06 6F 7C AE 5F 2F B9 67 96 4B 26  
Nov 08 00:11:50.367  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 30 B7 FB 8C CF 73 65 0B 03 BA 4F 49 92 24 ... ]  42 20 4F 00 4B 00 48 00 49 00 30 B7 FB 8C CF 73 65 0B 03 BA 4F 49 92 24 8E 82 C6 C7 A5 E6 BE 46 CF 3A 03 44 41 F3 87 F9 ED A3 CA 1E 71 AF 6C D4 6A 9B ED B4 18 6A 15 BE 87 6A 7C D8 E8 8E 57 91 61 14 C7 9E B3 48 CD AD 47 3D 67 89 14 D0 C5 84 CA 9D 4D  
Nov 08 00:11:50.367  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 12 01 4C CB F0 3D 76 AA 03 F5 B3 11 2A 14 ... ]  42 20 4F 00 4B 00 48 00 49 00 12 01 4C CB F0 3D 76 AA 03 F5 B3 11 2A 14 2B 48 1A 94 63 C9 D0 EB B5 C8 BD E1 F9 AE 83 37 71 6B 2E 28 03 7D CA 66 82 5B 51 A3 06 80 FE E2 39 4A F8 A6 A6 F4 6A 31 46 44 A2 69 6C D5 37 E5 69 41 33 3F ED 4A 48 04 56 15 95  
Nov 08 00:11:50.368  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 42 79 B8 54 0F 73 7F 2E 00 51 5D F3 98 56 ... ]  42 00 1F 00 1B 00 43 00 19 00 42 79 B8 54 0F 73 7F 2E 00 51 5D F3 98 56 8C 31 F3 36 41 82 6C 1B 7E 68 04  
Nov 08 00:11:50.369  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 9D F4 2D C9 A0 68 59 B8 00 99 D0 B4 C9 89 ... ]  42 00 1F 00 1B 00 43 00 19 00 9D F4 2D C9 A0 68 59 B8 00 99 D0 B4 C9 89 36 07 0E 01 9E D9 B5 09 5B 55 F6  
Nov 08 00:11:50.369  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x019B (411) [ 99 01 6C 78 2A CD 6A 5A B1 8A 18 B2 9D D4 14 A9 ... ] - Incomplete L2CAP  42 20 FB 00 9B 01 48 00 99 01 6C 78 2A CD 6A 5A B1 8A 18 B2 9D D4 14 A9 6C 0D 53 EB F3 1F 87 EE 07 CF 41 25 ED DB F0 C1 8C C7 B3 2B 24 D9 FA 05 F0 53 B7 4D 7B 7A 1E 06 DD 40 F5 B8 E9 FB 6D A5 A2 A6 6B 6A E9 8C 4D A3 86 78 54 D6 3C 02 0C 85 5A F4 C4 24 62 CD F1 C9 4A 10 7A 2B 46 3A D6 11 0F 59 7D B9 33 14 21 BA 40 3A 45 B7 17 55 EC 4D 85 BB 32 5D F3 AE 4F 3A A6 08 15 CA 20 29 54 75 63 53 60 D8 FD B3 60 37 BE CE BB A0 C6 E9 FA C5 CD 11 C3 CA 2F D6 4F D1 A3 26 C1 A2 8B C9 04 D1 12 AD 2E 7F D2 F2 5A 7E A8 82 4D 6E 4E 67 73 B8 F6 31 4A 23 1A F0 10 56 39 19 0E 1F D5 4D AF C3 22 DD C9 22 F2 F8 C0 70 67 07 86 9D 5B 71 6C B9 FA 2E 8C ED 5E F4 A9 D6 CC 69 90 90 FE 4E 18 0F D4 0D 94 27 44 DB 90 97 BC FA CE A6 82 CA F2 CB 0C 2C B5 73 F1 FC 1E F9 AD 1D A9 35 E6 BE 14 D3 65 C4 20 0A A0 D7 2B 60 45 0D 58 ED 22 E8 1B 95 90 A9 28 DB 28 16 60 90 25 1D C2 51 FE 69 2E 88 A8 B2 6C F0 06 B2 EC 25 6A EB 73 7B AC 08 FF 51 0C 96 D7 3E 8B 81 72 02 C7 3D 4E CD CF AA 89 41 38 3F C9 D1 E4 26 03 BA B6 87 C0 CA AD 56 27 FF 41 E8 FA 6E 1D AB B6 FF AC 2D 56 25 9C B6 C3 A0 24 95 D7 94 AC A1 12 3F 5D 83 B5 08 B5 04 97 C1 9D B8 BB 91 35 13 88 68 10 52 1F B1 38 E8 26 32 55 93 37 09 43 3D F2 60 8E F2 04 3C 89 4C 83 80 39 5D C4 2B 3E AB 12 0D A2 6E 91 97 E2 4D 4B 3C E2 68 73  
Nov 08 00:11:50.370  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 01 45 7A DD 04 5C FA 30 00 EA 68 F3 86 4A ... ]  42 00 1F 00 1B 00 43 00 19 00 01 45 7A DD 04 5C FA 30 00 EA 68 F3 86 4A 9D 5A 46 32 16 FA CD F5 9C F6 52  
