Nov 08 00:04:41.198  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:04:41.199  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:04:41.894  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 65 E6 A8 4C 40 5A 5A 05 07 39 54 C2 F1 B6 ... ]  42 20 8F 00 8B 00 48 00 89 00 65 E6 A8 4C 40 5A 5A 05 07 39 54 C2 F1 B6 A0 0A AD A0 87 ED F3 DC 3A 9C 1D 97 94 1D EB 9B EF AC F7 20 0C 19 C6 E6 6C 87 1A 4A EB 36 95 5F 3F 76 E8 2A AE 8E 55 0A CF BE CF 90 85 C4 04 99 F8 8F AE 25 F9 A7 EB CA EA CE 5E BB 6D E7 6A 28 77 09 90 BC 9A 30 6A FE 0D 23 5A 43 A8 23 FC E6 EF B1 06 A7 BC EB 80 A4 5C 09 18 4E 5C 38 E8 1D AA 45 5A 15 E6 5E 5B 8B F1 5C B1 6A 56 F0 37 AD 6A 88 F2 C1 33 D8 FC C2 45 13 03  
Nov 08 00:04:41.924  ATT Receive      0x0042  RB Meta 000X       Handle Value Notification - Handle:0x002A - Value: 00  42 20 08 00 04 00 04 00 1B 2A 00 00  
Nov 08 00:04:41.940  HCI Command      0x0042  RB Meta 000X       Read RSSI - Connection Handle: 0x0042  05 14 02 42 00  
Nov 08 00:04:41.944  HCI Event        0x0042  RB Meta 000X       Command Complete [1405] - Read RSSI - RSSI: -64 dBm  0E 07 01 05 14 00 42 00 C0  
Nov 08 00:04:41.956  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 89 86 27 5D 38 D2 27 FC 00 5B 5E CE 39 F4 ... ]  42 20 1F 00 1B 00 48 00 19 00 89 86 27 5D 38 D2 27 FC 00 5B 5E CE 39 F4 7A EE 9A C8 0A 34 41 BC 9C B0 F9  
Nov 08 00:04:42.015  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x009B (155) [ 99 00 31 68 D2 87 6E 24 DD 3C 08 AA CE FC 51 24 ... ]  42 20 9F 00 9B 00 48 00 99 00 31 68 D2 87 6E 24 DD 3C 08 AA CE FC 51 24 04 49 22 3C 3E AF EA FF 46 0F B8 3B 5C 5D 36 8B 06 0F 43 AC D5 73 74 0B B4 CD B9 31 B6 C4 43 F6 BE 38 54 FB B4 ED A9 BD 76 9C E2 0A 5D 2C 3D 83 DC E2 63 5D BA B2 C0 6C 4B B8 DA 89 CC AD A0 39 48 10 2A A3 21 70 1A FB 30 1B F8 A5 A3 BE 67 EE 24 27 9C 0F C6 85 24 60 7A 54 3C 04 ED 43 7B E4 93 42 02 ED D4 A4 9C 6C 7E DB 2D D4 3A 9D 66 62 FE 9C BF 08 31 37 F7 E7 8F 61 A3 42 54 D5 DC F7 52 6C E6 03 0E 10 76 86 3C DF BE  
Nov 08 00:04:42.016  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 2F F7 CC 48 4A 59 7D 6C 03 5E BD DD 82 63 ... ]  42 20 4F 00 4B 00 48 00 49 00 2F F7 CC 48 4A 59 7D 6C 03 5E BD DD 82 63 63 3B 19 C2 98 E2 C8 F9 12 39 55 C3 10 CF BF 4D 91 53 C5 A3 78 5C 17 08 11 80 5B 0A 11 FE EA B7 0A 00 78 22 ED 65 45 F5 C5 1A EA F8 15 C1 8D DB 1E 68 6A 54 8B 95 E5 D3 5F B7 E1  
Nov 08 00:04:42.017  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 FF A8 92 9E F8 66 1C F7 00 0E DA B8 AF F0 ... ]  42 00 1F 00 1B 00 43 00 19 00 FF A8 92 9E F8 66 1C F7 00 0E DA B8 AF F0 37 1B 4B A6 77 66 2C 0E A7 31 46  
Nov 08 00:04:42.017  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 E9 8F A6 AE 81 2D F0 09 00 1C E6 D6 E3 91 ... ]  42 00 1F 00 1B 00 43 00 19 00 E9 8F A6 AE 81 2D F0 09 00 1C E6 D6 E3 91 B1 7E 89 F9 42 70 FB 8F 51 AA 49  
Nov 08 00:04:42.017  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 FF 2D 70 9F 2C 24 55 37 00 54 96 A3 C1 E5 ... ]  42 00 1F 00 1B 00 43 00 19 00 FF 2D 70 9F 2C 24 55 37 00 54 96 A3 C1 E5 DC D7 BC 78 31 EE 9C 4A 03 3D F4  
Nov 08 00:04:42.024  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x006B (107) [ 69 00 1B 6F 0B 5F 93 75 25 F7 05 BE AC BA E9 AF ... ]  42 00 6F 00 6B 00 43 00 69 00 1B 6F 0B 5F 93 75 25 F7 05 BE AC BA E9 AF 60 E0 BF 7B 6E 2D 53 EB CC 53 5A A1 81 BE 32 88 84 3B 97 A8 58 EB 52 25 CB 9C BB AB F6 27 45 AF E4 24 46 83 19 DD 02 78 BC 00 B2 48 76 52 B5 2A 59 D0 E3 94 54 BA D5 99 FF 8D 46 F1 0A 75 1D F9 05 F4 BF DD 04 F5 40 33 4B F9 A8 58 00 EF 55 52 3D 1B E1 A0 17 C7 88 81 57 DB 75  
Nov 08 00:04:42.045  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 63 B8 56 9C 02 1B 1F 85 03 B4 1D 31 CB 04 ... ]  42 20 4F 00 4B 00 48 00 49 00 63 B8 56 9C 02 1B 1F 85 03 B4 1D 31 CB 04 CD 5E 49 8C B7 BE 43 81 E9 26 C1 2B 3D 8A 0F 5F D0 2E DB D3 5B 79 9D A1 D3 89 D4 46 FE D4 61 E4 26 D2 58 32 C8 71 61 32 E8 AB 2A A4 5F 78 60 35 B4 00 31 5F D4 70 6C 4B 11 AF B2  
