Nov 08 00:06:51.457  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:06:51.457  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:06:53.765  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:06:53.979  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:06:53.979  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:06:58.070  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 4F D8 85 3D 53 6E 99 1F 07 E1 D8 B3 DB B8 ... ]  42 20 8F 00 8B 00 48 00 89 00 4F D8 85 3D 53 6E 99 1F 07 E1 D8 B3 DB B8 A6 06 F9 CD D3 08 8B B2 44 5F FD 05 84 62 8E F2 37 68 F3 3C 0F C5 C8 8B 28 81 F0 9C 3D 28 9E 01 1B B3 EA 77 7F 05 B8 33 0A CF 9D AA 4A 89 6D 4E AD AF DA 54 97 18 18 00 EF F2 BA 4E 40 E7 B3 A3 09 EA 00 28 A0 C2 B7 E0 09 6A BB 6C 94 15 57 85 F3 DA DF 75 27 C8 2E D8 88 DB 9B B9 1A 40 F8 0B 29 24 02 CC 9F F4 FD 25 57 30 AC 6C 8E 55 61 B8 BC 7F 78 E5 DE 31 3E 17 7C B2 61  
Nov 08 00:06:58.072  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x015B (347) [ 59 01 56 9A 7E 41 CE 0F EF 16 14 D0 78 DE 24 3F ... ] - Incomplete L2CAP  42 20 FB 00 5B 01 48 00 59 01 56 9A 7E 41 CE 0F EF 16 14 D0 78 DE 24 3F 9F 5B 1E A0 74 69 44 34 9B 80 41 D4 08 8D 3D 17 D0 60 1B B2 91 89 C1 E7 A0 CD 3C EE 67 80 E4 59 6B CB 82 12 3D C8 B0 56 B6 1B 23 D7 12 D4 C8 CE 74 EB 54 F9 D7 A3 3F 1C 4D 3F A7 40 92 A3 D7 CD 4D 94 F7 1C B4 C0 06 E5 D6 0E 77 76 13 29 1A EE 84 50 B8 BF E7 FD 87 74 B8 2C 98 96 64 F4 B6 6F E2 62 0E E1 7D B0 51 E4 D2 54 32 C8 21 4C DF 41 5F 93 71 83 98 AE 18 C6 A3 89 E4 C5 D0 5C 45 AB 87 8C 5B DD A6 D5 0C E0 16 27 48 E3 E9 6C 74 E2 5E 25 B2 12 8F 1B 8C 21 5A 95 C7 D3 F5 53 C4 0B C9 6F 9E 83 2C 83 9C 8D FB BB 85 37 16 5A D8 71 2B E1 60 46 1B 07 88 28 52 15 C3 EB 0E 38 55 4C 50 B4 9C 5D 0F C4 94 4A 9C 63 77 07 53 95 6C CE F6 39 93 4A 15 38 36 DD 47 BC E3 94 13 AC CC D5 3D E4 AE A3 CE E6 2A A3 1E B5 D3 4A 01 5B D3 5E 8B DF 96 C0 6C 2C 98 00 6C 71 CC D5 10 27 49 69 5F 1D 4A EE 12 1E 1D 2F 69 09 90 30 F7 97 8B 39 0C 7A F0 57 EE 0D 2F CF 35 6E 80 76 90 8E 37 AF B0 0E 41 04 2F E8 B9 11 D7 CF 2A 7B 53 45 2A 76 3D B8 D6 F6 01 94 DC A0 AC F7 15 FC 66 3C 86 37 77 06 88 C8 39 4F A9 90 B2 8C E4  
Nov 08 00:06:58.074  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00BB (187) [ B9 00 47 85 EB 88 8B AD 6A E3 0A 32 53 D9 BA EA ... ]  42 20 BF 00 BB 00 48 00 B9 00 47 85 EB 88 8B AD 6A E3 0A 32 53 D9 BA EA 13 76 9E 95 59 50 69 79 D3 36 B4 7D 68 E1 23 38 F5 9C 7A 0C 1F C9 AD 99 EC 25 3E 54 78 70 1B 32 0F F1 D9 2E 83 AF 5F A7 EF EB 70 81 5F 40 7C 40 8C 50 4E D8 0B 85 0E DA 28 B4 8E 15 30 52 AC AD 23 D8 D1 21 B3 8F DA 09 0B 52 52 FC 3B D1 A6 66 2A 45 9C 5C 12 1D EB 23 90 B6 5B 4A DB 45 44 24 25 D1 C3 75 85 1B 79 5F 2A 04 92 99 CC 5E 0C 6B 7D 74 97 7B 48 6F 44 04 43 15 17 BF CF EC 32 49 03 78 84 C3 96 BA B7 FF 9B 09 0F 1F 71 47 38 E0 E3 B8 58 0E 02 EB 74 38 C7 D6 EC 3C 5E 57 27 2D CF 3E 5F 8A D7 B8 51 59 B8 2D DB  
Nov 08 00:06:58.098  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 A3 71 A8 FF 29 E5 43 96 03 33 B4 02 42 39 ... ]  42 20 4F 00 4B 00 48 00 49 00 A3 71 A8 FF 29 E5 43 96 03 33 B4 02 42 39 E3 AC 72 2D 39 B5 FB A8 47 46 E2 88 65 5C 1C 3E D6 BD 15 00 19 6C 16 C8 A8 D8 82 92 A9 E5 3F E0 A1 C6 6A 32 CE 2B 76 E4 F7 A7 4B D1 A2 D2 47 80 85 2C 1F EB 96 92 53 98 FA F4 C8  
Nov 08 00:06:58.098  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 4F 73 64 E9 B4 28 AA C1 03 A1 B9 60 F5 59 ... ]  42 20 4F 00 4B 00 48 00 49 00 4F 73 64 E9 B4 28 AA C1 03 A1 B9 60 F5 59 97 11 E9 9F 6B A6 12 C0 D7 8A 6F F6 8F D0 3D 7B FA C7 BF 01 02 82 2E C1 FC BA 9F 1E A2 45 0D 69 FE 33 CB 26 11 5E E9 C4 C1 2F 61 B7 95 A6 67 4A EA 45 98 89 C6 54 09 7B 22 CD BA  
Nov 08 00:06:58.100  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x014B (331) [ 49 01 FE 7E 7F FF B9 C0 9E 35 13 71 68 79 B8 BC ... ] - Incomplete L2CAP  42 20 FB 00 4B 01 48 00 49 01 FE 7E 7F FF B9 C0 9E 35 13 71 68 79 B8 BC 10 90 DC A1 C3 62 6A 92 3F 87 57 72 68 31 A6 AF D7 37 B4 05 34 C9 F3 73 EE 33 53 16 27 0C 23 4D 6A 6D D9 74 5C BE C3 CC CB 5F A4 1D F1 71 68 4D 96 74 13 1E FB 5B B9 6A 34 F2 52 29 E7 F3 35 E4 41 6F 7D D9 59 4D 8D 2A 93 82 C1 F3 CE 85 17 36 BD 2B 7E 83 26 4B 2F 49 5D 14 DE 7E 1A 73 25 CF 82 16 9B 3E 38 9B 8F E6 A2 6A 0C 63 2E 11 FC E2 47 3A 7D B3 E1 4B B8 83 F5 DD 02 68 FA E1 DC 36 78 4C 1F F1 A7 5D 57 51 A9 04 96 18 1A 30 F9 EC A6 7F ED 66 72 E0 03 1F EA 0E 1F C6 8C D6 6C 6F 4E 63 7C 3E 79 38 91 BF A1 99 CE 5E BC 51 CF 79 16 8C E2 55 AD A6 B6 BE AA 1D 61 06 E5 BC B1 BA DC 16 CC 3A 31 1A DC C1 88 E5 B8 FF FA 6C 26 9B 85 9F 2A C1 E4 A0 6C B9 E3 57 1F FE E4 C8 D4 2E B2 29 36 6A 9C 29 1D A6 CB A3 4A A8 64 38 73 2F E8 47 53 74 B4 B6 02 4C 23 AA E4 4B FE FC 5C 9E CD E2 1F 7C CF B1 EB AE 8E 44 BB FD 1A 40 51 53 7F CC 54 44 8A 72 B9 96 C1 54 8D 83 A3 F2 E8 F0 66 50 C8 C7 C0 8A 67 39 66 04 C8 FE 76 01 2D AC 67 04 34 8B BD C7 5D 5E A4 42 EC  
Nov 08 00:06:58.100  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 4C E2 06 88 07 14 5C 9A 03 60 F5 71 A1 1C ... ]  42 20 4F 00 4B 00 48 00 49 00 4C E2 06 88 07 14 5C 9A 03 60 F5 71 A1 1C F6 26 8A 28 5B D0 7D 5C 10 95 AB F2 D6 C7 79 28 70 75 CB D4 56 6A CD A6 14 23 B4 F4 BB CE F3 BF CE ED 1D 60 A0 4E F8 C4 E8 84 0F 19 D6 DF FB C6 8D F4 89 D7 40 16 A4 8E 2C 48 DB  
Nov 08 00:06:58.102  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 FA 52 AB DE 15 92 83 B2 03 7D 60 E4 9F 76 ... ]  42 20 4F 00 4B 00 48 00 49 00 FA 52 AB DE 15 92 83 B2 03 7D 60 E4 9F 76 5F AA 86 15 F1 6E EF 19 24 C7 DF 59 B5 F6 7F BD 8C CC 92 CB 00 7A A4 1F 61 20 C1 F4 CC 6A 62 6B D2 BC EF DF D5 D4 9B B7 86 83 79 79 5B 48 59 1C 68 85 7C E5 7D EE 50 34 2D BC BB  
Nov 08 00:06:58.128  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 8B 42 D1 6A 03 A5 90 BA 03 53 5D 4F 97 C8 ... ]  42 20 4F 00 4B 00 48 00 49 00 8B 42 D1 6A 03 A5 90 BA 03 53 5D 4F 97 C8 A6 93 0B 47 5E 17 D3 55 26 92 65 CF 7B 41 27 7C 08 F7 E5 0C C8 D0 79 CE EB AE 3D 85 4E 57 A5 A5 8D 8F 47 6C F7 07 BC 0B C3 BD EB 2A 2E 99 C0 E2 39 86 7F 63 76 CC A6 DE 09 AD 68  
Nov 08 00:06:58.128  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 3C 34 EE CC 73 B3 50 3A 07 21 49 64 EB 08 ... ]  42 20 8F 00 8B 00 48 00 89 00 3C 34 EE CC 73 B3 50 3A 07 21 49 64 EB 08 13 66 51 1A C3 4E 59 00 CC 12 21 04 74 D0 CC FA 4A 14 E7 E5 20 BF B0 E0 68 FA 59 6C DA 99 FE B8 E1 9C 71 6E C0 04 FE 4A F0 8C AF 65 C3 F3 94 DB 9B 60 E2 8A 22 F1 41 F0 CD 37 A2 5E E5 51 79 E7 37 F2 61 56 DB 1D 8C F1 32 9D 7F C3 12 14 8B 3B 69 CB 3E AB 1D 99 A9 58 4C 72 90 C1 80 E3 8D 81 9D 4C 0E C6 D9 96 95 B3 D6 6F 93 3E F9 C3 B0 7C A7 E8 04 40 79 7D 19 CF 29 0F E4  
