Nov 08 00:08:02.087  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:08:02.089  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:08:02.749  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 BF 46 4B 11 89 32 1D DF 07 3D 1E 11 B0 A6 ... ]  42 20 8F 00 8B 00 48 00 89 00 BF 46 4B 11 89 32 1D DF 07 3D 1E 11 B0 A6 AE 33 CA BC 13 B1 10 4A 92 DC 01 06 A3 F2 15 80 78 12 D3 35 B1 1B D0 B3 8A 24 4D C9 BC 8F D4 11 BD 4B FE 70 60 39 CF D7 CA AA 77 29 D7 1F CF C5 B7 E8 67 23 FE A7 52 0E F6 D5 AD E6 93 72 C5 9A 73 1B F0 FD F3 CE 2C 3B B1 D9 7C F4 64 94 C1 EB 07 10 DD DF 02 83 44 F6 AD FE 92 FC 87 77 56 88 0B B5 A3 BA 62 65 D7 D7 BD 2C AB 4C B1 EC 6B 9F 2F 9E A1 63 E0 60 87 CE 69 90 65  
Nov 08 00:08:02.778  ATT Receive      0x0042  RB Meta 000X       Handle Value Notification - Handle:0x002A - Value: 00  42 20 08 00 04 00 04 00 1B 2A 00 00  
Nov 08 00:08:02.794  HCI Command      0x0042  RB Meta 000X       Read RSSI - Connection Handle: 0x0042  05 14 02 42 00  
Nov 08 00:08:02.799  HCI Event        0x0042  RB Meta 000X       Command Complete [1405] - Read RSSI - RSSI: -60 dBm  0E 07 01 05 14 00 42 00 C4  
Nov 08 00:08:02.838  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 BB 47 EB 61 3D E0 14 D0 00 6A 04 7E EA 82 ... ]  42 20 1F 00 1B 00 48 00 19 00 BB 47 EB 61 3D E0 14 D0 00 6A 04 7E EA 82 3D 6D 7F DB B6 05 09 44 5A 8E 26  
Nov 08 00:08:02.839  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x009B (155) [ 99 00 77 C2 00 3E FF 86 A5 1B 08 A3 E9 7C 99 39 ... ]  42 20 9F 00 9B 00 48 00 99 00 77 C2 00 3E FF 86 A5 1B 08 A3 E9 7C 99 39 F0 B6 98 B1 7F 53 B1 4E F2 7A 80 C1 2E 4B 86 58 3A 9F 22 92 A7 BC 3E 49 9E FB 8B EF 12 F2 7E E6 AA FC 50 AE 91 0C 01 2A 32 D3 92 B7 A2 40 AE 63 88 7A B6 85 A8 2D 43 B2 F2 3B DC 93 9C 22 56 12 29 B7 6F 68 2E 29 9C 8F 2C FF 22 DC 50 D6 9D E4 2F EE BA D3 0D E4 53 55 1A 05 12 71 35 53 34 22 0E 05 9D 1E BF 62 57 39 50 E2 AA BD F9 07 94 AA 30 7E 97 33 D0 36 78 B7 A1 74 B9 86 62 13 A7 51 15 B4 EF D5 4C 0B 27 29 9A 7E 0E  
Nov 08 00:08:02.841  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x0034 (52) [ 32 00 2B C1 AF BF 5B 0A 1E FC 00 C1 FA CE D3 81 ... ]  42 00 38 00 34 00 43 00 32 00 2B C1 AF BF 5B 0A 1E FC 00 C1 FA CE D3 81 B7 9A 56 0B 9A 19 46 DD A0 88 EE C1 54 1B 3E C1 73 0B D9 00 90 C4 88 32 6A 4A A1 A2 DC AB A1 FC 01 AE 46 41  
Nov 08 00:08:02.841  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 B4 17 5E 7E 8F 76 83 03 00 44 67 BB 4E 4E ... ]  42 00 1F 00 1B 00 43 00 19 00 B4 17 5E 7E 8F 76 83 03 00 44 67 BB 4E 4E F0 4D C7 46 2B 62 A9 3A A4 9B EB  
Nov 08 00:08:02.845  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x006B (107) [ 69 00 23 A3 5C D3 BA 7E 15 5E 05 2F 5F D6 84 26 ... ]  42 00 6F 00 6B 00 43 00 69 00 23 A3 5C D3 BA 7E 15 5E 05 2F 5F D6 84 26 7C 6F 43 9F 16 FE 30 8F 3A 8E 87 CB EA 7B 39 49 56 4F 36 C9 70 48 BF 8F E5 5D E4 BB 23 7B B8 47 47 DC 51 35 DF 23 82 4E FE 60 9A B4 1D 08 ED CC 31 1B 78 DC DF E0 EB 8C 5B F2 6F 58 72 EF 8E 63 5C DD DE DB A5 AE E7 AB CE 4E AB 59 2E 4A B5 AA 38 4F 4A 63 88 C1 D1 92 1C 6D 21  
Nov 08 00:08:02.871  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00AB (171) [ A9 00 50 16 66 D4 EA DE 5B 5E 09 09 30 AE D8 36 ... ]  42 20 AF 00 AB 00 48 00 A9 00 50 16 66 D4 EA DE 5B 5E 09 09 30 AE D8 36 B9 9E 57 ED 8B A5 F8 E4 ED 59 3F C4 FD C0 26 D2 44 F1 2D 73 EC D1 E1 99 35 90 C8 E8 99 61 D3 1E 07 8F B5 19 3E EF 8C 45 46 CA D6 6F 9C CC 27 DF D0 BB 36 22 F1 BC F8 AF 7B 34 35 BE 04 7C 4A C1 71 AD 3C DF A4 DA 89 D9 D1 D2 38 EC 06 13 E9 47 04 10 0A A3 F5 50 68 B3 2B 66 5C 21 4B 8C 60 6A 3A C4 AA 83 09 02 D2 78 A3 37 08 6C 6D 9E 78 D2 FE 76 6C 15 1C 81 FE 27 04 3F 3A 0B 62 10 07 D3 B6 7E AA 40 30 F5 9A E2 91 E0 13 3C E6 52 23 A3 3F 4F 70 36 CC 6A 6E 58 B4 CE A0  
