Nov 08 00:12:43.518  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:12:43.518  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:12:46.556  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 8C CF B4 89 0C 2D 5A 03 07 55 B0 EC 3D E9 ... ]  42 20 8F 00 8B 00 48 00 89 00 8C CF B4 89 0C 2D 5A 03 07 55 B0 EC 3D E9 F6 16 0E A6 34 3A 81 C9 15 2B DE FD AF 13 B7 19 30 A9 31 A7 26 65 3C 77 A9 A8 F2 CA A3 67 FA AF D1 02 AC 24 29 9B 6B 83 E4 30 1E 23 23 4D 03 0B 86 48 AF DC 48 62 80 7F C2 DB 6F EB 15 CF 3F B0 C1 9D 02 DE 6D D1 C8 4C 6E 25 15 CC 9C 5E C5 46 A0 E4 A5 79 AE 90 9C EE 1F B6 65 67 F2 2E A8 19 AD DC A0 94 9A B9 9F 9F 27 82 0C 3F 80 2C BF AB AB 77 AF 0D 9D D4 51 2C F9 80 42  
Nov 08 00:12:46.616  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 36 EF D2 C6 5D 83 73 7B 00 8A 93 83 7E AA ... ]  42 20 1F 00 1B 00 48 00 19 00 36 EF D2 C6 5D 83 73 7B 00 8A 93 83 7E AA 63 56 29 27 E6 D9 36 D3 CA 2F 33  
Nov 08 00:12:46.707  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x018B (395) [ 89 01 85 A5 82 55 F0 5F 38 CD 17 E9 43 52 CF 79 ... ] - Incomplete L2CAP  42 20 FB 00 8B 01 48 00 89 01 85 A5 82 55 F0 5F 38 CD 17 E9 43 52 CF 79 98 11 4C E1 3C A5 D5 6E 31 34 CD 10 6E 15 5F 88 44 18 82 D8 94 19 FD A1 6A EF 2D 7F 8B 9F 75 31 E0 F8 25 EA CF DC 29 35 67 70 75 A6 46 D3 94 8E E8 BD 28 DE 57 8B 19 45 ED 60 5A 5D 16 DD B5 DB 2B B3 1E 24 3C DD BC 59 11 DA 4B 1B 5A 59 E1 19 DF 1A 1E B9 31 48 6E DC F6 B9 A3 41 F5 1A B2 22 1E 26 1A 12 D4 2E 47 C4 43 28 D2 78 B1 97 A8 99 48 D3 B6 CC 71 C3 F5 D0 EC FE 59 39 7A 1A E6 FB 59 91 6C CB 0B 4D CC E2 59 80 DC 0C 9E 80 FA F6 BD 68 F8 6D 7B 9A C0 B1 2B 89 2C E8 52 66 D0 2E AD 67 C8 FB F5 34 C5 98 74 29 F2 F2 A7 1B B9 B8 B3 92 42 AF 8B 17 84 34 31 6B 09 BE C8 F6 AC 21 F7 04 B7 49 30 6F E7 3B 24 87 FB 05 D7 0F 03 71 F6 49 B5 D8 A3 87 7E 7C B4 BD 4C 1D 3F E8 47 40 96 54 F2 83 2A DC FB 98 BD F7 A5 AD 8B 41 E3 CF BA 9A 61 47 7F FE AF 24 66 BC 6B 45 A3 FE A0 F8 F4 5C AB 0A 60 C6 04 DB 79 78 33 C5 EF 7D C1 B8 09 EF 00 ED 57 6E AD 54 C4 9D BB AE 23 AF D1 8C 71 9B D7 EA DA 75 8A 0D 9F 7C F5 80 E0 61 97 3C 9E 29 0F EC 4C 4F EB FB 71 21 BB 93 69 31 19 16 54 54 C3 F0 48 23 C2 7A 27 7C E9 0E 96 65 DF F9 CA F6 AA 4D F7 BC AB B0 10 CB 16 3E 36 96 AF 15 E2 01 C8 6F 28 2D D9 46 D9 10 59 AD 46 BE D2 2E DA 45 AA 8D 99 2D B3 02 39 B1 07  
Nov 08 00:12:46.708  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x030B (779) [ 09 03 42 08 B5 E2 1B AC FF BE 2F E3 5E 2F CF D3 ... ] - Incomplete L2CAP  42 20 FB 00 0B 03 48 00 09 03 42 08 B5 E2 1B AC FF BE 2F E3 5E 2F CF D3 04 C7 76 F8 90 2A 22 F2 25 CB E3 24 17 E6 88 45 57 2C 77 74 50 46 23 0B DA 3A 64 BD 73 12 1C A3 F9 7C 5B 2C 6B 20 2C A3 F0 D6 A6 03 6B 22 FB 8D 84 9B D6 DB 4A BA 2D D1 72 66 D9 DD F9 9E B7 86 D1 F6 89 2E 7E B9 F2 92 03 30 84 16 4D DB EC 8D 87 32 F4 AE FA A8 ED E3 0C F7 B3 C8 6A BD D0 3F 96 DB 95 54 58 45 0A 99 5C 6D 76 0D 27 98 37 AA 86 7F 6E C6 8A F0 73 81 05 20 93 E7 80 D1 E0 C3 26 24 BE 82 41 7C 60 42 AE AD B7 E8 2A 06 6A D7 66 F0 D9 6A D4 D0 16 64 93 F4 C5 02 EB 6F D3 5F 22 02 38 C7 40 7A 32 53 07 32 69 C8 0F 6F 6C 9D BF FA A1 D3 5F 3B 2B 80 27 F8 71 5C 2B 63 2F 07 68 3A C2 27 CC E7 26 F6 1B B1 0D BE 5E 87 DE 56 77 89 D2 E8 CA 74 48 40 E6 72 A0 16 92 9A CB E5 16 E2 EC ED 2C 61 91 A7 64 8C CE 02 4D B2 CB B7 67 A3 FB 63 92 3F B3 8C 8D 35 73 B4 AF 61 5D E7 55 96 D1 3D 36 82 12 15 D3 CF 80 46 32 7B 7A 3C FF 3C 46 8E 37 F5 9D A6 66 2C D7 5F 87 95 B3 7E 8D 1E 02 B3 52 04 F1 1E 5B 63 A8 AF C7 81 5F DC D8 ED 72 1E 1D 00 E7 94 42 3D 90 C0 B6 AB 1C 70 32 09 20 0D 27 2E 93 A9 A0 7D 31 60 94 26 D0 78 56 28 AA 45 58 77 4E 4F 6A F2 C5 22 5C C9 C6 76 74 30 61 16 1A 06 5B ED FE 0A 91 00 46 CD 24 3C FC D8 89 F7 C9 88 36 2E CD 0A 0F 7C 85 94 8B BC 70 62 75 99 A2 9B F3 41 97 FF C8 16 B3 54 88 D6 F2 96 B9 9F 80 DD 74 7A E8 9E 90 C6 84 63 91 9F 6E 8A D4 A5 F8 F4 FA 44 9A 75 4B E0 D3 C2 71 D2 11 2A 52 82 F3 E8 C1 55 AD 1C DC 00 5E 47 E0 73 8C 57 98 4E F6 EC 13 61 46 47 BB 8E 65 87 24 6A 45 88 27 0A B1 48 F7 91 D7 8C 65 4E 1A 52 EA EA 2F 71 A2 3F CA 24 46 D2 76 6F 94 28 23 FC C1 26 86 FA 05 32 7D CE 58 CC EB 41 DF E8 EF 50 5B 12 F8 60 B1 7B 95 67 3F 99 5A 3D DD EF DD 8B CE 4A 1D 5D 1A E3 64 D9 15 F8 62 53 0B E8 01 16 25 70 52 57 DF BE 42 68 A7 CE 87 F5 19 A7 EB 4A 2B A5 7A 1F F3 D0 63 13 C3 BE F0 A6 D0 E4 8B 1C 4A EE E4 3A F8 BD 9B C4 43 0D E6 1D 63 82 F5 09 17 7B FD 1E CF 8C E3 A7 A1 D7 8F 9F 3E 31 EA 15 55 D2 3D 63 BF 71 1B D5 DC DC 55 2D 17 B8 E1 A6 5B EC AE AA 9B B6 58 72 5D 54 DA C1 99 4F 3D 64 70 3A 2F F1 54 52 A0 B9 45 AA 9A F9 87 78 83 ED 41 27 8F AE 44 E5 D7 C1 50 27 99 B6 91 D8 99 4A 58 E8 38 CA 40 43 74 B5 3B 19 35 BE 3A 9F 7B 13 4C 6D 95 E8 07 3F 5F 0E 46 FE 69 2E 1D E1 9F C1 8B 42 97 24 FF 46 B2 41 9A 8D 49 55 FE 83 3D B5 B6 EA 56 9D BA 26 15 CF F6 D3 9C EB D1 44 16 EB 88 42 16 53 90 AE 6D AD CD 9B 0E 93 B2 0B C7 89 14 A1 42 B7 33 51 00 18 C2 5D 3B D6 F3  
Nov 08 00:12:46.738  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 1F 52 64 53 E6 5F 73 D6 03 4F A5 EB 53 FB ... ]  42 20 4F 00 4B 00 48 00 49 00 1F 52 64 53 E6 5F 73 D6 03 4F A5 EB 53 FB 3B 6F D7 0E FE 41 09 01 DB C4 60 72 34 D6 62 14 8A 7C E2 CB 3E F7 C9 65 FF 46 25 EB D1 DF EF BB 24 2F E2 17 30 6E 03 1C DE BA 92 67 48 4B 2D 7A AE 37 8C B1 50 16 2A C7 39 69 49  
Nov 08 00:12:46.738  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 DA F1 99 A1 36 B4 CB 1D 03 14 29 04 6C F1 ... ]  42 20 4F 00 4B 00 48 00 49 00 DA F1 99 A1 36 B4 CB 1D 03 14 29 04 6C F1 18 B2 C9 D1 31 E7 EC 5C E0 2B EE B4 FC E8 04 C2 7E C0 29 F0 45 2F 31 53 F6 FD 82 8D 4B EE E7 FD 09 44 89 AA B2 41 2F DC 40 6A B5 81 DE 56 98 C0 D9 1D 48 7C 23 2E 54 59 C5 9B 98  
Nov 08 00:12:46.740  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00FB (251) [ F9 00 47 4B E6 57 19 25 7A 95 0E FD 52 3B C4 70 ... ] - Incomplete L2CAP  42 20 FB 00 FB 00 48 00 F9 00 47 4B E6 57 19 25 7A 95 0E FD 52 3B C4 70 43 6D 0C E3 CB 2B F9 C1 E8 0C 6E B0 AA C9 88 F9 5C 5E C6 24 56 F7 D8 18 29 D2 E1 DD D7 5F B3 64 9B 76 B3 3C DA 0B 60 56 3A 35 A5 D5 0D 41 08 53 E6 AB 9A D2 33 D7 68 0C 17 27 21 57 48 98 B4 1C 7E 03 2C 46 A5 05 24 A0 CA FA 49 C4 6E FF 20 FA 25 73 35 92 CC 22 AA 1F 66 F7 62 5C CA EE B9 CB DC 9C 6F 62 EE 68 29 EA B0 A7 E0 64 3A 58 7E 94 C9 DD 9F 4D 46 27 1C D8 6E 5E 4A C9 95 6A 4F C7 08 82 ED 59 AF 8E A3 87 CF 7F 71 85 8C E3 84 DF 7B E0 5F D3 38 FD 27 63 F4 DE 79 9F F1 4D FA 3B AB D0 04 C3 16 33 76 40 D7 31 34 A6 F2 09 1E D6 00 83 2E C5 40 98 4F 72 32 A5 F2 2C FB 83 D6 EB 8D 4F 01 C6 C1 CB 7C 10 ED A0 FB DC 28 3F C2 C9 C2 BC 2A 55 AA C6 AF 70 E3 AB 55 18 86 79 68 EC ED CB 76 0B 0C 14 FA  
Nov 08 00:12:46.740  Scrubbed ACL Re  0x0042  RB Meta 000X       ACL data - Handle:0x0042 CID:0xD245 Length:9551 (0x254F)  42 10 04 00 4F 25 45 D2  
Nov 08 00:12:46.740  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 AE 15 7A F1 9C 6E FA 8C 03 17 0C E3 2C 31 ... ]  42 20 4F 00 4B 00 48 00 49 00 AE 15 7A F1 9C 6E FA 8C 03 17 0C E3 2C 31 AC ED 4A AF 13 24 70 B4 5A 1D 5E 76 D0 E1 9C A3 18 46 84 9F 5B 0B 8E 11 CD C5 2B 5D A2 5E 79 96 4A 19 93 7C 63 16 D5 8F C6 D7 53 DA 99 93 59 B1 83 AF 5E F3 A2 15 F3 A2 88 E8 F8  
Nov 08 00:12:46.740  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 63 CF 59 EC FE DD 93 F2 03 73 F9 DF 7C 13 ... ]  42 20 4F 00 4B 00 48 00 49 00 63 CF 59 EC FE DD 93 F2 03 73 F9 DF 7C 13 C7 84 8A 8B E8 DD F2 B7 76 74 F2 A6 DF C3 C8 FD ED 04 34 EB 78 77 42 5E 35 60 02 98 6E 2D BE 4D 0C C7 92 8F 55 D3 F3 9F 63 EF D0 16 EE 5F 24 E4 15 8F FA 89 F5 6B AC 1B 59 FB 84  
