Nov 08 00:13:52.696  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:13:52.702  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:13:57.658  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 10 D1 9B 50 73 05 5F 71 07 6A 49 F5 0E 40 ... ]  42 20 8F 00 8B 00 48 00 89 00 10 D1 9B 50 73 05 5F 71 07 6A 49 F5 0E 40 7B B6 01 99 9B C0 B0 44 50 0D BB 58 1B 03 8C C8 AA 8A D6 4F 08 A3 79 FC D1 1A FB 28 76 04 C7 95 7E B8 F5 81 B1 C1 2F 8F 3C 31 28 76 97 49 55 74 21 9B D5 2E 0F 6D 54 88 FD 14 AB B1 BF 00 1D 24 AB EC 4A 43 E6 57 E0 40 94 BF B4 9E 10 F5 D1 74 92 00 D6 1B 1D 36 D0 E9 5A 38 54 69 91 81 BE 51 1B 20 A7 3E D2 FE 98 A2 62 F4 B7 2F 2B 5A 04 6D 27 88 93 E8 1C 18 5F FD AE E6 6A  
Nov 08 00:13:57.659  ATT Receive      0x0042  RB Meta 000X       Handle Value Notification - Handle:0x002A - Value: 00  42 20 08 00 04 00 04 00 1B 2A 00 00  
Nov 08 00:13:57.673  HCI Command      0x0042  RB Meta 000X       Read RSSI - Connection Handle: 0x0042  05 14 02 42 00  
Nov 08 00:13:57.677  HCI Event        0x0042  RB Meta 000X       Command Complete [1405] - Read RSSI - RSSI: -79 dBm  0E 07 01 05 14 00 42 00 B1  
Nov 08 00:13:57.806  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 93 F3 B3 99 C7 7A EA 4D 00 BB F1 AF F0 89 ... ]  42 20 1F 00 1B 00 48 00 19 00 93 F3 B3 99 C7 7A EA 4D 00 BB F1 AF F0 89 25 4A D0 BA BE 4F AE 18 2D 22 D0  
Nov 08 00:13:57.837  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x009B (155) [ 99 00 92 61 A6 DE 28 38 3C CF 08 E6 ED 9F D7 FB ... ]  42 20 9F 00 9B 00 48 00 99 00 92 61 A6 DE 28 38 3C CF 08 E6 ED 9F D7 FB 0C E8 F1 C1 81 41 59 35 E0 BA AD 2B F6 9C CE 9A 65 B3 FA 11 1E B5 20 AD 11 4C 28 8C 4B 00 D4 40 E4 E8 62 71 B6 77 F9 04 24 4B 0A 12 04 E6 B2 5A 62 A4 34 52 54 86 89 0E 4A EA 02 86 A6 CC D9 22 1B 34 35 58 7A 6B 44 10 EF E8 E8 0A B7 1D 6D 3D 48 1B C6 C6 87 B8 0C EE 3A 7C 69 0B 4C AB 29 6A D8 EC 5F 3F B3 BC 0E F6 AC D5 BC 04 0A 40 16 5B 16 07 1C 28 B5 F7 E3 33 E3 33 04 C5 B0 3D F6 2E 2E EC D2 5B F6 CE 43 95 61 79 6A  
Nov 08 00:13:57.838  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x018B (395) [ 89 01 85 38 58 5E 31 46 C7 06 17 F7 A8 6C 4F 84 ... ] - Incomplete L2CAP  42 20 FB 00 8B 01 48 00 89 01 85 38 58 5E 31 46 C7 06 17 F7 A8 6C 4F 84 40 80 71 66 FB 93 24 BF BE 3E 4E F8 14 1C 08 36 DC 8D C1 4F 1B 71 77 1D 89 40 98 EF 8C 14 F2 C0 E8 8D C3 0C 9D 5E 5F BF 8B A1 E1 5C 48 C5 14 3E F8 DE 1C 08 87 64 0C 49 A5 C3 7A 75 89 DF FB C2 AA 56 11 A2 3A 05 72 60 81 F4 FD DC 61 27 A5 0F F8 4F EA F6 14 EA 25 D6 13 9C C7 72 F7 66 E9 09 87 4F 4A D3 A5 18 F9 70 DE F1 57 C5 81 C6 52 49 F8 3D 8C 6B 73 98 0B C1 F6 40 1F 52 7A 35 BB 45 08 BF 70 84 84 05 90 F6 47 BF 54 84 BB BD 62 CC 93 B2 DB 34 E9 70 A8 4C 5F CB 4E 49 CA BE 49 F8 6E 23 FA BA F6 47 69 60 4B 74 7E E7 EA 22 2B A9 06 F8 8A 25 A9 51 DA A7 D3 E6 05 F5 58 B2 C3 EE 3A 88 0F 9A 6B E3 91 5C A4 FE CC EA D8 8C 43 9D 99 1A 35 59 ED CE 38 33 D5 19 8F 6D A0 76 CA 2A 2E 3B 35 83 70 69 B0 F2 7B 25 42 D9 5D 70 ED E2 C5 C5 AC 31 F7 73 F0 C0 51 CA F4 DD 33 D0 FB A8 3A DC FF 53 20 94 26 36 1B 98 CB E5 E5 68 C2 94 23 4F 53 B7 D6 ED 6F D6 2A 7E 74 D2 31 BF 2D FD E3 B0 39 BA 63 68 12 B1 76 33 33 23 B5 5A B3 EE 1A C1 DD 11 48 1E B5 A5 C8 45 3E 6E CB 77 1F 8A AC 2B 17 79 FC A6 6D 54 56 A9 4F 28 BD 65 79 D8 81 ED F0 9B 4F 84 33 17 F7 C1 B7 38 EC 26 A3 B5 8D CA 11 28 4D 61 9C 94 16 73 3B 4C 38 0C 58 DD AE 1A 56 18 8B CE 0C 5E E7 90 56  
Nov 08 00:13:57.840  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 24 21 81 90 B9 67 7B BC 00 DA 81 14 29 CF ... ]  42 00 1F 00 1B 00 43 00 19 00 24 21 81 90 B9 67 7B BC 00 DA 81 14 29 CF 72 43 7A F1 3D 1C C4 E3 1D A5 B1  
Nov 08 00:13:57.841  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 1E 32 25 AF 51 0C 22 CC 03 C2 F0 F1 A4 B1 ... ]  42 20 4F 00 4B 00 48 00 49 00 1E 32 25 AF 51 0C 22 CC 03 C2 F0 F1 A4 B1 8B 06 06 FC C1 65 91 5A CA 97 D2 CF FF ED 55 F2 D1 ED D3 C5 13 69 CA CE 6C 2A 99 FD EB 2D 04 26 DD 08 A0 7E 9A AB 13 9A 83 73 5B 1E 5F E5 13 32 77 87 4D 42 3D B0 31 9D 63 3A DE  
Nov 08 00:13:57.841  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x003B (59) [ 39 00 B4 4B 32 4A 5A AA 11 1D 02 40 6B 31 F4 3B ... ]  42 20 3F 00 3B 00 48 00 39 00 B4 4B 32 4A 5A AA 11 1D 02 40 6B 31 F4 3B A5 AE 62 49 AB 8D 61 67 DA C5 FD 80 B0 5A 4D D9 C7 91 57 C8 A4 F8 8E 1E BE 32 D1 B7 2A CD EC 55 2B C4 BF B4 35 B5 98 57 C5 C1 E6  
