Nov 08 00:14:49.950  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00AB (171) [ A9 00 26 3C 79 B4 6F 0D D2 17 09 02 FB 48 D3 EE ... ]  42 20 AF 00 AB 00 48 00 A9 00 26 3C 79 B4 6F 0D D2 17 09 02 FB 48 D3 EE D8 2A EE B2 0C C0 F4 AF C0 5E 52 B2 AE 4F B1 54 F7 81 F9 62 E7 B5 BB 1A 7A 3C 1D 72 4A DC AF 24 33 7E 25 B0 17 99 53 B0 FD 78 12 1A 01 6C 71 99 C4 00 CB 3B D7 8B 93 28 A4 07 D3 0B 6D 7A 9B BF E1 F4 10 71 9A 1B BD 6B BF B7 F3 CB 62 59 BE F7 A5 65 98 06 66 56 E8 CC 51 DE 5D 77 0B A4 83 44 BF C9 3B 3D 15 26 D7 BA B6 8E E0 20 67 37 44 48 52 96 9A 24 83 B2 76 4B 7B F8 2F 35 7C 3D AF 96 78 82 1D 25 97 67 A2 28 1C 38 0F FD 95 A4 88 27 73 2C E5 8C 60 0A B0 37 6F 95 C6  
Nov 08 00:14:49.950  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 9B 3F FA B3 53 3B C6 42 03 CB 98 92 84 4B ... ]  42 20 4F 00 4B 00 48 00 49 00 9B 3F FA B3 53 3B C6 42 03 CB 98 92 84 4B AF 05 67 BE 0F 3D 1E 25 C2 EF 7D 61 4C 37 A0 4E C5 16 26 41 93 80 41 37 99 3E D9 D5 A8 76 9D 3A 1B 05 3E D8 7F A4 91 B4 DF 86 75 3A 7E 20 95 74 AB 53 51 9D CE E8 75 CB 0D 5C 32  
Nov 08 00:14:49.950  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x003B (59) [ 39 00 33 F8 49 06 50 4F 8E BC 02 A5 F8 79 18 17 ... ]  42 20 3F 00 3B 00 48 00 39 00 33 F8 49 06 50 4F 8E BC 02 A5 F8 79 18 17 06 53 2D 12 66 29 A7 BB 34 39 04 87 4E 9D 2C 03 5D 50 58 40 AA 34 41 CE 0C CC 93 00 85 4D 1C 58 FF 17 54 7E D1 5F F9 96 E9 75 7B  
Nov 08 00:14:49.952  HCI Event        0x0042  RB Meta 000X       Number Of Completed Packets - Handle: 0x0042 - Packets: 0x0002    13 05 01 42 00 02 00  
Nov 08 00:14:49.952  HCI Event        0x0042  RB Meta 000X       Number Of Completed Packets - Handle: 0x0042 - Packets: 0x0002    13 05 01 42 00 02 00  
Nov 08 00:14:49.953  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x003B (59) [ 39 00 73 D0 16 BF 75 55 87 A3 02 36 36 73 54 0B ... ]  42 20 3F 00 3B 00 48 00 39 00 73 D0 16 BF 75 55 87 A3 02 36 36 73 54 0B C8 96 5C D2 B2 3E B3 BE 81 3E 27 4B 4E DB 08 05 BF AE 85 FA 38 D4 C9 78 78 1B 4D F8 C2 E7 6C C1 40 1D D5 F6 53 13 2D 6D A4 90 AB  
Nov 08 00:14:49.980  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00DB (219) [ D9 00 16 F5 4E CC D1 A1 98 96 0C 34 64 1B E3 FD ... ]  42 20 DF 00 DB 00 48 00 D9 00 16 F5 4E CC D1 A1 98 96 0C 34 64 1B E3 FD 91 6B 7C DB 8F C0 7B B8 FD C1 EB B3 36 D4 94 1C E8 23 F2 B6 CE 9C 14 19 4D 0D 24 73 FE BE 70 8D 47 78 EC C0 73 AB A4 EF 49 9B 83 ED C9 18 71 59 70 FD 64 79 71 6A B2 8A 8D 36 D7 8D 72 34 D9 2F A4 4E 0A EC 37 72 9D 8A A8 66 CB 25 6A 5E 71 E8 5F E5 06 AA 2E 49 12 76 94 9E 73 F3 D1 C3 67 E4 81 66 EB 55 78 A7 6E FA 48 85 A2 1D 4B E0 44 05 BD 02 14 0A B5 09 16 02 A3 9E CF E6 08 AC A5 FB 66 A7 57 F3 0A E4 E2 D5 C5 32 B6 A5 FC 67 97 5E DE 3C 90 80 73 2E C0 95 D0 DA 60 5B 95 F7 81 39 33 91 ED 42 18 9A AC D1 6E A7 07 B6 6B 77 ED 6C AC C1 FB F2 A7 25 88 64 E5 A9 38 ED 8A 7E 92 1B 8C 88 BA C5 F0 D3 78 4C C8 20 75  
Nov 08 00:14:49.980  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x027B (635) [ 79 02 C2 08 FC E3 7D 51 3E 9D 26 9A 42 A1 D9 BD ... ] - Incomplete L2CAP  42 20 FB 00 7B 02 48 00 79 02 C2 08 FC E3 7D 51 3E 9D 26 9A 42 A1 D9 BD DE FE C5 43 83 DB 1C 2A F9 F6 36 63 F2 A1 10 8C A5 DF 90 C2 43 38 BE 29 AB 1D 96 5B 3C 89 97 5F 4D 76 9A 53 DB 4D C8 DF 37 B0 5E 54 5A FD 9E 20 5B C2 18 C6 7D 5B EE 58 CF 2A 26 63 A6 5D 1A 05 03 36 BD 51 04 6A 40 6D 4A 68 55 22 AB 52 08 3A 42 FF A6 46 9F 85 9E 04 1E 2A BC C1 C5 87 88 FF 41 8B 29 D1 29 FD C7 36 13 FA 43 A2 A9 B7 B2 1F EC D8 36 CF 4C AC 97 BE B6 85 7F 23 2D A6 38 6C 10 72 CB 76 7F 77 1B F5 D1 27 D9 3D 74 3F DD 71 6D 33 41 B7 EF B6 F5 6B 9B 2F 94 77 0C 22 90 72 B9 D5 D5 46 00 27 C8 AF 3D 91 71 2F 7A A1 60 08 1B BE 72 AE C6 18 A9 68 3F 9F 4A 19 2C 9F F7 9D 31 6F 21 D4 75 74 3C 0B 09 0A E6 DE 50 A5 74 AB A8 28 A5 ED D2 35 52 0D FB BF 19 2D F8 37 4B EA AB 4F 27 4A 9E 6C 1F E1 6C A5 E9 DA 74 2E 2E A6 A9 95 0B 78 DF 3D A9 08 CD 88 28 77 9F BE 38 9D 93 93 50 49 9B C1 4A A9 9B 39 60 2B 07 EE 29 62 BA B2 17 BE 9A 73 5D 48 C6 B0 31 C1 B5 54 28 6D 30 83 50 AF 30 B4 1A E3 FA F3 1B B7 9B 45 73 00 AE B9 AC 51 FB 83 81 A8 0B 7C 11 6A 2A 03 61 05 25 3E A1 52 47 B7 DC F7 E9 B8 22 53 CC 58 E2 C0 88 3E 48 4A 81 C0 AF 72 95 A3 74 E6 03 04 7F 18 91 EC A7 E3 D0 61 85 5D BE 52 AC CB A7 2E 83 F7 F6 20 1C F8 89 97 E7 A4 A9 30 FD 0C 58 19 E4 B7 5B BC 73 13 E1 F0 57 2A D0 AE 64 41 74 E2 C1 9F 4C 55 34 18 15 4D 11 8A 47 48 90 53 BC 7C C8 D3 5F A6 67 91 2A 65 4C A3 29 74 F9 70 45 EE 17 43 50 55 94 90 C8 70 A4 68 A5 52 2A 80 81 B3 00 71 EE 13 2A 8D 2F C9 DF 13 CB 9C E8 80 DC B6 D1 30 AF E9 5D E1 23 92 99 BF 42 4F 70 39 6E 40 64 B7 B7 D5 BB 10 9F 7E 0D 9F 6A 50 C4 16 2B 50 74 9B 63 12 7D 75 80 53 E9 E8 09 43 A5 39 95 74 05 95 BB 17 FD 0E 3A 46 3E 4C A8 79 4A 16 72 E0 BD 2A F0 0E 5A CD 47 89 27 CB CD 32 DA EB 2C 1F 69 D6 1E 6E CC 5D D7 51 75 00 74 57 1B 88 DB DD 5E 6C 8E EC DD 6C 21 E5 E6 59 7B 57 DC 5B 58 F9 2C A3 F6 95 96 D2 19 E6 EC 61 5A 1F 28 77 E8 87 A1 EC 8B A9 C6 DD 8A DA 37 B4 0F FE 4C DB 1C 6B BA C7 8F A6 93 8E 64 AD 0D 3F 55 9E AF  
Nov 08 00:14:50.009  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x003B (59) [ 39 00 99 C2 9D 86 AE BD DC 09 02 E7 47 CD 69 59 ... ]  42 20 3F 00 3B 00 48 00 39 00 99 C2 9D 86 AE BD DC 09 02 E7 47 CD 69 59 88 6C C2 F6 3D 51 2A 80 21 EE FE 29 13 86 0F F6 6B E6 75 0D 9D FD 05 9C 94 0F A2 64 06 67 2F 13 89 2E 5C 41 F1 DC 83 3E 6F BA 6A  
Nov 08 00:14:50.009  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x003B (59) [ 39 00 40 EE 1F 92 0E 97 DD 91 02 61 2C EF 9F D3 ... ]  42 20 3F 00 3B 00 48 00 39 00 40 EE 1F 92 0E 97 DD 91 02 61 2C EF 9F D3 E8 E7 9E E1 47 A1 DF D3 6B C5 58 A6 0D A3 F4 39 89 64 BA E0 CF CD C4 65 BD 25 61 A9 22 B0 FC D3 02 4C 1E 58 16 A7 FE 7A 53 58 7A  
