Nov 08 00:08:49.672  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:08:49.676  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:08:50.811  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 41 E3 7D 61 F5 81 EE FD 07 D7 9A B4 A1 71 ... ]  42 20 8F 00 8B 00 48 00 89 00 41 E3 7D 61 F5 81 EE FD 07 D7 9A B4 A1 71 A1 9E EC E7 D7 D4 11 01 2E 38 56 FD 38 6E FE 4E A8 47 54 22 BC 37 94 41 CE FB E7 0F 9F 64 90 6A F3 83 2A 7A 9F 91 C9 84 0B 01 87 C3 0D 5D C0 F2 D4 71 D0 41 AF 0A BC D9 70 50 89 75 4C 27 E1 45 6B 52 C3 DA CC 3B DB 04 84 F9 65 AC 15 62 A4 BB A1 C9 64 9D C5 5D D6 E7 EB A8 A3 62 AC 14 9B 5B 4E B8 E7 74 32 55 BF 81 B4 91 9D 3D 15 FC 4B 03 63 4D 81 8B 7B 63 84 1A 6B 25 3D  
Nov 08 00:08:50.840  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 04 C1 E4 2B 56 A2 9C A1 00 15 80 BC 80 42 ... ]  42 20 1F 00 1B 00 48 00 19 00 04 C1 E4 2B 56 A2 9C A1 00 15 80 BC 80 42 53 B6 57 4F E3 37 80 62 A3 BE 78  
Nov 08 00:08:50.901  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00FB (251) [ F9 00 49 F7 C0 42 48 A8 92 FF 0E 29 22 89 22 5E ... ] - Incomplete L2CAP  42 20 FB 00 FB 00 48 00 F9 00 49 F7 C0 42 48 A8 92 FF 0E 29 22 89 22 5E 94 C5 3A 49 97 39 9E 5C 28 05 E6 2F 82 8C 8D 7D A5 B7 99 77 B1 49 1D DB 97 94 C9 C0 12 D4 3C 8C 85 18 5B F3 75 C6 EA 9D FB 6E A6 A8 71 C9 CC 83 7B 8D CA 93 65 08 B0 22 EC 5D 59 FF B6 8A CD 68 82 CD 2D 89 F6 7B BF E5 F7 56 EF 80 B1 AE 01 ED 0D B4 B8 3A E4 A8 8A 48 A3 BA 3E 5A 53 22 AC C7 54 E5 AA 18 E2 06 76 82 C0 12 52 D6 D6 9D 52 D0 FA 06 A5 A6 19 26 23 2D D4 B7 1A 56 C4 33 9B 14 33 FE DD B5 B9 32 60 B0 46 87 A0 3A 99 97 D8 3D 4C CC 10 A4 38 35 2E 97 01 36 18 4D EA F5 B8 08 8B 74 9B 98 E9 95 91 65 2D 4F BF 7A 21 6F 51 B8 DD 73 DE E1 65 BB E6 B6 AA C6 E9 7E 07 D5 51 5C E6 39 CB 86 51 B3 8A 4A 15 FF A0 08 82 FC 9E 16 54 B7 AC B0 55 E4 30 F8 D8 5F F4 FF 3F 84 B6 FA FD 6F C5 82 A0 C3 BB  
Nov 08 00:08:50.904  Scrubbed ACL Re  0x0042  RB Meta 000X       ACL data - Handle:0x0042 CID:0x5809 Length:61025 (0xEE61)  42 10 04 00 61 EE 09 58  
Nov 08 00:08:50.904  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00EB (235) [ E9 00 45 36 58 25 41 20 F6 A7 0D 4A 49 E7 60 EB ... ]  42 20 EF 00 EB 00 48 00 E9 00 45 36 58 25 41 20 F6 A7 0D 4A 49 E7 60 EB 16 AD 67 75 AC B1 A1 46 F1 CD 9B 1B 8B 02 78 D6 CC 7D CC 30 FE 35 0C F4 14 E3 70 C3 33 9B B2 01 12 67 A7 9F C2 ED 25 5F 60 EB C9 D1 E8 97 0E 0D 22 4B 94 26 1D 07 D6 8A BA 68 66 7B 3C 96 EC 54 69 4A 1A 7C 5A 6F B7 AD 76 6E 5F 93 EC 2A 37 69 AC CD 48 3C C5 C3 6A 56 81 1B CF 0A 52 0D 12 72 1C 3F 06 60 89 49 05 34 51 55 1E F4 8C 7C 6E 91 E5 D4 EC C2 BD 41 DB F3 40 B0 D4 7E 71 AC 77 BD D8 A9 B8 42 9E 12 68 F1 AD EB 69 A0 A1 28 FE E4 47 98 8B AC 54 96 2E 32 AC 4E CD 90 43 50 5C E6 8C 81 17 58 30 51 AC 35 BA 13 A7 E0 3A C7 B8 F4 6A 56 B6 6D A9 FC 24 B8 CF 2F 64 6B DC BB 14 53 CF F5 FA 1B 71 81 66 6A 68 7A 7C 27 DE 40 24 C3 65 B4 9D 49 A5 0B D6 DB 60 A3 C1  
Nov 08 00:08:50.905  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x011B (283) [ 19 01 97 4A 53 60 0A 5E A1 8A 10 7C D6 75 78 D3 ... ] - Incomplete L2CAP  42 20 FB 00 1B 01 48 00 19 01 97 4A 53 60 0A 5E A1 8A 10 7C D6 75 78 D3 8E 22 D7 AA 94 2C 3F 7A 81 48 CD 73 95 CE 3B 8D 80 56 DD 5A C9 82 0A 5B 95 59 B1 F5 4A 70 CA 0F 39 45 35 9A 8D EB FF 3D 80 F3 B9 5A E3 84 F3 24 2A 7C B1 EF 19 A0 28 21 37 E0 03 36 E5 11 33 C6 1E 11 B8 98 DC 1E 3C A8 61 AE FA 4D 2B A2 03 98 D6 FF 2D B7 17 77 29 F5 42 AB 64 98 88 80 F6 80 86 5E 0D DB 0A EB 3C 26 73 25 59 3D 54 3D A9 C5 FA E3 0C 0F A4 B6 62 B0 DE 8B 4F 3B 62 EF F6 D5 B0 06 27 75 84 C5 AA F1 2E 95 91 99 5E B4 4E 03 A5 BD 03 9D B5 F5 55 0E 08 02 25 F8 CB 9E F1 74 83 E0 A7 96 D4 FE AE A1 53 67 09 AD 48 CA 4D 3C 40 D3 5C A0 86 89 5A 25 30 13 37 15 17 E0 6F 60 ED 63 81 18 75 1A 41 CE EB 65 F6 CB 00 5D EB 2F 2B 98 1B D4 C7 D7 10 1D 2B C5 2C 8C 7B 79 7B 38 0C 24 C5 A7 E6 FE A3 07 C2 F9 AB 8D 37 1A 68 19 1B BB 15 5A ED BC 25 8C 77 40 81 13 1F 49 57 1D 4B 0A 6B F3 5E 9B BE EB 7D EF 68  
Nov 08 00:08:50.906  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 25 15 D3 E7 86 18 27 B8 03 08 43 DA FC FF ... ]  42 20 4F 00 4B 00 48 00 49 00 25 15 D3 E7 86 18 27 B8 03 08 43 DA FC FF DF 55 40 DE 64 2B 64 FA C3 3E 94 9A 48 F2 16 33 65 0C A3 D9 A5 DE B0 90 17 86 A1 C4 FD 64 D4 1E FC DB 8C 7C BA DD 13 76 41 DE E9 E6 75 39 39 AC 17 AF 43 34 2F F0 64 CF 7D E1 68  
Nov 08 00:08:50.961  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 DC 16 98 22 E5 E1 46 00 03 24 CE 96 50 CB ... ]  42 20 4F 00 4B 00 48 00 49 00 DC 16 98 22 E5 E1 46 00 03 24 CE 96 50 CB 7C E8 20 D2 6E 9A 2A D0 C6 F1 15 84 15 83 26 96 51 2A 8A 87 5F 04 E5 CB 7E 67 C0 75 8F 17 57 DB 25 04 E9 8C 0D F9 E6 0C 1F 81 91 E8 A4 DC F7 6E E5 08 43 F5 96 73 DE 58 47 29 CD  
Nov 08 00:08:50.961  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 2E CF 13 2E B6 3E 11 8B 03 07 4A 04 1B 7F ... ]  42 20 4F 00 4B 00 48 00 49 00 2E CF 13 2E B6 3E 11 8B 03 07 4A 04 1B 7F E9 22 E8 B6 FA 8C 4C 75 72 B0 C0 5B E4 9F CA 83 CC 71 5F 9E CC 5D A9 87 4C 6F A6 7B 3F B9 BE E9 2C 95 25 5C 13 E9 C8 6D 50 C9 4C A8 6B 0A 52 48 DA 1D 2D 37 0A 54 20 78 B8 52 CF  
Nov 08 00:08:50.962  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x007B (123) [ 79 00 3C 62 D0 93 29 1A 5E D4 06 10 F0 02 D9 BD ... ]  42 20 7F 00 7B 00 48 00 79 00 3C 62 D0 93 29 1A 5E D4 06 10 F0 02 D9 BD B8 0B BF 1C 0F E9 23 1B 81 72 52 91 10 07 A6 D6 9E 9E 55 4E 08 A6 80 D4 25 C7 D2 A0 A9 B3 3E B6 C4 FF 00 3B 38 E2 71 A2 08 4A E7 09 07 57 86 1F 76 3A EF F3 5B D5 96 C2 12 6D AA EF CA A1 32 85 6D 9C 82 A1 57 3E 67 9E 7D 16 E1 CE C1 C5 08 B3 75 13 38 D6 9D 38 E8 3F 7B 0D DF A5 AD 66 35 E7 90 70 0B 4C 57 39 39 AA EB 30 35  
