Voltage,Percentage,Temperature,Elapsed Time
3989,70,2950.0,1701.86
3989,70,2950.0,1702.371
3984,70,2940.0,1712.052
3984,70,2940.0,1712.568
3975,70,2930.0,1722.189
3975,70,2930.0,1722.705
3978,70,2920.0,1727.794
3978,69,2920.0,1727.84
3978,69,2920.0,1728.354
3976,69,2910.0,1742.525
3976,69,2910.0,1743.049
3985,69,2890.0,1752.91
3985,69,2890.0,1753.446
3971,69,2880.0,1762.864
3971,69,2880.0,1763.397
3977,69,2870.0,1783.279
3977,69,2870.0,1783.821
3966,69,2860.0,1790.448
3966,68,2860.0,1790.489
3966,68,2860.0,1791.016
3966,68,2840.0,1803.611
3966,68,2840.0,1804.145
3964,68,2830.0,1813.847
3964,68,2830.0,1814.396
3957,68,2820.0,1823.994
3957,68,2820.0,1824.52
3956,68,2810.0,1844.419
3956,68,2810.0,1844.97
3952,68,2800.0,1851.586
3952,67,2800.0,1851.624
3952,67,2800.0,1852.141
3949,67,2780.0,1864.654
3949,67,2780.0,1865.188
3948,67,2770.0,1885.068
3948,67,2770.0,1885.599
3931,67,2760.0,1900.435
3931,67,2760.0,1900.987
3940,67,2750.0,1914.974
3940,67,2750.0,1915.535
3940,65,2750.0,1922.577
3940,65,2750.0,1923.113
3943,65,2740.0,1936.61
3943,65,2740.0,1937.147
3934,65,2730.0,1945.629
3934,65,2730.0,1946.159
3930,65,2720.0,1955.719
3930,65,2720.0,1956.261
3933,65,2710.0,1973.793
3933,64,2710.0,1973.801
3933,64,2710.0,1974.312
3931,64,2700.0,1986.917
3931,64,2700.0,1987.435
3922,64,2690.0,1997.006
3922,64,2690.0,1997.553
3919,64,2680.0,2017.484
3919,64,2680.0,2018.026
3913,63,2670.0,2032.366
3913,63,2670.0,2032.413
3913,63,2670.0,2032.928
3907,63,2660.0,2058.091
3907,63,2660.0,2058.615
3899,63,2650.0,2088.656
3899,63,2650.0,2089.205
3899,62,2650.0,2092.135
3899,62,2650.0,2092.673
3893,62,2640.0,2109.235
3893,62,2640.0,2109.782
3900,62,2630.0,2119.332
3900,62,2630.0,2119.875
3900,61,2630.0,2153.355
3900,61,2630.0,2153.899
3888,61,2620.0,2159.943
3888,61,2620.0,2160.487
3892,61,2610.0,2190.503
3892,61,2610.0,2191.059
3890,61,2600.0,2210.939
3890,61,2600.0,2211.473
3875,61,2610.0,2214.541
3875,60,2610.0,2214.564
3875,60,2610.0,2215.094
3878,60,2600.0,2221.067
3878,60,2600.0,2221.599
3871,60,2590.0,2241.353
3871,60,2590.0,2241.886
3878,60,2580.0,2275.668
3878,59,2580.0,2275.727
3878,59,2580.0,2276.247
3848,59,2570.0,2333.0
3848,59,2570.0,2333.518
3848,58,2570.0,2334.121
3848,58,2570.0,2334.636
3845,58,2560.0,2393.903
3845,57,2560.0,2393.929
3845,57,2560.0,2394.435
3847,57,2550.0,2414.708
3847,57,2550.0,2415.234
3842,57,2560.0,2424.846
3842,57,2560.0,2425.386
3851,57,2550.0,2435.138
3851,57,2550.0,2435.656
3851,55,2550.0,2453.619
3851,55,2550.0,2454.17
3831,55,2540.0,2513.427
3831,54,2540.0,2513.478
3831,54,2540.0,2513.991
3831,54,2540.0,2555.11
3831,54,2540.0,2555.154
3831,54,2540.0,2555.203
3831,54,2540.0,2555.254
3831,54,2540.0,2555.763
3831,54,2540.0,2555.937
3831,54,2540.0,2555.981
3831,54,2540.0,2556.489
3831,54,2540.0,2560.232
3831,54,2540.0,2560.739
3831,54,2540.0,2563.753
3831,54,2540.0,2564.269
3842,54,2550.0,2567.444
3842,54,2550.0,2567.952
3850,54,2540.0,2571.787
3850,53,2540.0,2571.818
3850,53,2540.0,2572.331
3850,53,2540.0,2576.462
3850,53,2540.0,2576.972
3850,53,2540.0,2577.64
3850,53,2540.0,2578.148
3833,53,2550.0,2587.827
3833,53,2550.0,2588.333
3833,53,2550.0,2592.56
3833,53,2550.0,2592.607
3833,53,2550.0,2592.614
3833,53,2550.0,2593.124
3806,53,2560.0,2598.262
3806,53,2560.0,2598.768
3799,53,2570.0,2618.352
3799,53,2570.0,2618.86
3799,52,2570.0,2632.924
3799,52,2570.0,2633.432
3799,52,2570.0,2645.308
3799,52,2570.0,2645.358
3799,52,2570.0,2645.403
3799,52,2570.0,2645.452
3799,52,2570.0,2645.96
3799,52,2560.0,2648.867
3799,52,2560.0,2649.375
3837,52,2550.0,2710.049
3837,52,2550.0,2710.56
3837,51,2560.0,2713.56
3837,51,2560.0,2713.57
3837,51,2560.0,2714.077
3833,51,2550.0,2740.765
3833,51,2550.0,2741.271
3833,50,2550.0,2806.724
3833,50,2550.0,2807.235
3831,50,2540.0,2832.756
3831,50,2540.0,2833.261
3831,49,2540.0,2901.255
3831,49,2540.0,2901.761
3821,49,2530.0,2914.415
3821,49,2530.0,2914.922
3817,49,2540.0,2944.98
3817,49,2540.0,2945.489
3821,49,2530.0,2955.274
3821,49,2530.0,2955.79
3821,48,2530.0,2994.32
3821,48,2530.0,2994.831
3811,48,2520.0,2996.026
3811,48,2520.0,2996.532
