Timestamp,Voltage,Percentage,Temperature,Elapsed Time,Low Point
2023-10-13 14:10:14.367949,4030,100,25.6,13.5239499934916,
2023-10-13 14:10:14.570764,4030,100,25.6,13.726764555439647,
2023-10-13 14:10:14.583139,4030,100,25.6,13.739139681253427,
2023-10-13 14:10:14.931705,4030,100,25.6,14.087705725008204,
2023-10-13 14:10:14.931705,4030,100,25.6,14.087705725008204,
2023-10-13 14:10:15.278209,4030,100,25.6,14.434209247794021,
2023-10-13 14:10:15.279584,4030,100,25.6,14.435584261773329,
2023-10-13 14:10:15.280271,4030,100,25.6,14.436271768762984,
2023-10-13 14:10:15.280271,4030,100,25.6,14.436271768762984,
2023-10-13 14:10:15.280959,4030,100,25.6,14.436959275752637,
2023-10-13 14:10:15.281646,4030,100,25.6,14.437646782742291,
2023-10-13 14:10:15.282334,4030,100,25.6,14.438334289731946,
2023-10-13 14:10:15.282334,4030,100,25.6,14.438334289731946,
2023-10-13 14:10:15.283021,4030,100,25.6,14.4390217967216,
2023-10-13 14:10:15.283709,4030,100,25.6,14.439709303711254,
2023-10-13 14:10:15.495461,4030,100,25.6,14.651461456524808,
2023-10-13 14:10:15.847465,4030,100,25.6,15.003465035227858,
2023-10-13 14:10:15.850215,4030,100,25.6,15.006215063186477,
2023-10-13 14:10:15.850902,4030,100,25.6,15.00690257017613,
2023-10-13 14:10:15.853652,4030,100,25.6,15.009652598134748,
2023-10-13 14:10:15.855715,4030,100,25.6,15.011715119103712,
2023-10-13 14:10:15.861902,4030,100,25.6,15.017902682010602,
2023-10-13 14:10:15.861902,4030,100,25.6,15.017902682010602,
2023-10-13 14:10:15.861902,4030,100,25.6,15.017902682010602,
2023-10-13 14:10:15.862590,4030,100,25.6,15.018590189000255,
2023-10-13 14:10:16.622972,4030,100,25.6,15.778972919558017,
2023-10-13 14:10:16.976351,4030,100,25.6,16.132351512240376,
2023-10-13 14:10:16.977726,4030,100,25.6,16.133726526219682,
2023-10-13 14:10:16.978414,4030,100,25.6,16.13441403320934,
2023-10-13 14:10:16.979789,4030,100,25.6,16.135789047188645,
2023-10-13 14:10:16.980476,4030,100,25.6,16.1364765541783,
2023-10-13 14:10:16.981164,4030,100,25.6,16.137164061167958,
2023-10-13 14:10:16.981164,4030,100,25.6,16.137164061167958,
2023-10-13 14:10:16.981851,4030,100,25.6,16.137851568157608,
2023-10-13 14:10:16.981851,4030,100,25.6,16.137851568157608,
2023-10-13 14:10:16.982539,4030,100,25.6,16.138539075147264,
