Bitrate_Mbps,CDF
0.084968,0.002145922746781116
0.215408,0.004291845493562232
0.262576,0.006437768240343348
0.274152,0.008583690987124463
0.292952,0.01072961373390558
0.294624,0.012875536480686695
0.399176,0.015021459227467811
0.419112,0.017167381974248927
0.44476,0.019313304721030045
0.445712,0.02145922746781116
0.462768,0.023605150214592276
0.481936,0.02575107296137339
0.483656,0.027896995708154508
0.490992,0.030042918454935622
0.50292,0.032188841201716736
0.521496,0.034334763948497854
0.524848,0.03648068669527897
0.531144,0.03862660944206009
0.531192,0.0407725321888412
0.534464,0.04291845493562232
0.5366,0.045064377682403435
0.541328,0.04721030042918455
0.552368,0.04935622317596566
0.552696,0.05150214592274678
0.560768,0.0536480686695279
0.565144,0.055793991416309016
0.565464,0.05793991416309013
0.589264,0.060085836909871244
0.607464,0.06223175965665236
0.613376,0.06437768240343347
0.614608,0.06652360515021459
0.616488,0.06866952789699571
0.643776,0.07081545064377683
0.654504,0.07296137339055794
0.65464,0.07510729613733906
0.675872,0.07725321888412018
0.676368,0.07939914163090128
0.683192,0.0815450643776824
0.690832,0.08369098712446352
0.695064,0.08583690987124463
0.705824,0.08798283261802575
0.710976,0.09012875536480687
0.716184,0.09227467811158799
0.71964,0.0944206008583691
0.721144,0.09656652360515021
0.731264,0.09871244635193133
0.737704,0.10085836909871244
0.74444,0.10300429184549356
0.748616,0.10515021459227468
0.764096,0.1072961373390558
0.765216,0.10944206008583691
0.775472,0.11158798283261803
0.776712,0.11373390557939914
0.779352,0.11587982832618025
0.780776,0.11802575107296137
0.786264,0.12017167381974249
0.79028,0.1223175965665236
0.79288,0.12446351931330472
0.793072,0.12660944206008584
0.827496,0.12875536480686695
0.838832,0.13090128755364808
0.844912,0.13304721030042918
0.848416,0.1351931330472103
0.857792,0.13733905579399142
0.8582,0.13948497854077252
0.86956,0.14163090128755365
0.873424,0.14377682403433475
0.878768,0.1459227467811159
0.882048,0.148068669527897
0.882992,0.15021459227467812
0.885424,0.15236051502145923
0.887552,0.15450643776824036
0.89012,0.15665236051502146
0.904024,0.15879828326180256
0.905296,0.1609442060085837
0.915552,0.1630901287553648
0.918488,0.16523605150214593
0.920296,0.16738197424892703
0.92556,0.16952789699570817
0.930432,0.17167381974248927
0.931848,0.17381974248927037
0.937488,0.1759656652360515
0.946456,0.1781115879828326
0.96088,0.18025751072961374
0.967064,0.18240343347639484
0.96948,0.18454935622317598
0.97148,0.18669527896995708
0.973112,0.1888412017167382
0.97344,0.19098712446351931
0.984632,0.19313304721030042
0.986472,0.19527896995708155
0.98792,0.19742489270386265
0.989968,0.19957081545064378
0.99588,0.2017167381974249
0.999624,0.20386266094420602
1.005096,0.20600858369098712
1.01152,0.20815450643776823
1.015096,0.21030042918454936
1.026544,0.21244635193133046
1.037648,0.2145922746781116
1.040568,0.2167381974248927
1.051312,0.21888412017167383
1.057496,0.22103004291845493
1.06028,0.22317596566523606
1.076696,0.22532188841201717
1.092056,0.22746781115879827
1.099392,0.2296137339055794
1.117128,0.2317596566523605
1.123904,0.23390557939914164
1.16824,0.23605150214592274
1.168568,0.23819742489270387
1.190712,0.24034334763948498
1.192304,0.24248927038626608
1.208752,0.2446351931330472
1.209248,0.24678111587982832
1.22924,0.24892703862660945
1.2478,0.2510729613733906
1.255368,0.2532188841201717
1.284112,0.2553648068669528
1.299608,0.2575107296137339
1.3016,0.259656652360515
1.30454,0.26180257510729615
1.315496,0.26394849785407726
1.326968,0.26609442060085836
1.332144,0.26824034334763946
