Interval start,Bitrate_bps,CDF
0,0.0,0.006711409395973154
1,0.0,0.013422818791946308
4,0.0,0.020134228187919462
2,41904.0,0.026845637583892617
104,395392.0,0.03355704697986577
107,566592.0,0.040268456375838924
105,571328.0,0.04697986577181208
108,571392.0,0.053691275167785234
109,649536.0,0.06040268456375839
106,662976.0,0.06711409395973154
103,685632.0,0.0738255033557047
102,713792.0,0.08053691275167785
110,841152.0,0.087248322147651
5,907520.0,0.09395973154362416
6,1105380.0,0.10067114093959731
101,1388860.0,0.10738255033557047
64,1525020.0,0.11409395973154363
139,1793120.0,0.12080536912751678
67,1836160.0,0.12751677852348994
63,2272580.0,0.1342281879194631
141,2317660.0,0.14093959731543623
18,2322050.0,0.1476510067114094
44,2376510.0,0.15436241610738255
68,2397310.0,0.1610738255033557
145,2481600.0,0.16778523489932887
147,2513790.0,0.174496644295302
126,2544480.0,0.18120805369127516
81,2553280.0,0.18791946308724833
7,2606620.0,0.19463087248322147
8,2617920.0,0.20134228187919462
82,2633860.0,0.2080536912751678
10,2641950.0,0.21476510067114093
127,2643870.0,0.2214765100671141
122,2773090.0,0.22818791946308725
39,2831070.0,0.2348993288590604
56,2860100.0,0.24161073825503357
62,2890240.0,0.2483221476510067
89,2905470.0,0.2550335570469799
100,2958850.0,0.26174496644295303
43,2963170.0,0.2684563758389262
66,2971460.0,0.2751677852348993
116,3010370.0,0.28187919463087246
9,3031140.0,0.28859060402684567
46,3053950.0,0.2953020134228188
55,3058560.0,0.30201342281879195
80,3059260.0,0.3087248322147651
41,3073570.0,0.31543624161073824
138,3080960.0,0.3221476510067114
22,3083260.0,0.3288590604026846
26,3083330.0,0.33557046979865773
131,3101790.0,0.3422818791946309
69,3124480.0,0.348993288590604
132,3133440.0,0.35570469798657717
140,3150210.0,0.3624161073825503
71,3187740.0,0.3691275167785235
98,3223710.0,0.37583892617449666
16,3236160.0,0.3825503355704698
72,3254140.0,0.38926174496644295
59,3305250.0,0.3959731543624161
24,3331520.0,0.40268456375838924
35,3335870.0,0.40939597315436244
17,3343740.0,0.4161073825503356
20,3348380.0,0.4228187919463087
32,3364030.0,0.42953020134228187
130,3366080.0,0.436241610738255
117,3387840.0,0.4429530201342282
14,3390560.0,0.44966442953020136
60,3407970.0,0.4563758389261745
135,3408380.0,0.46308724832214765
12,3408770.0,0.4697986577181208
11,3411200.0,0.47651006711409394
146,3411360.0,0.48322147651006714
87,3414020.0,0.4899328859060403
29,3429060.0,0.4966442953020134
48,3433410.0,0.5033557046979866
84,3435840.0,0.5100671140939598
94,3449470.0,0.5167785234899329
21,3461220.0,0.5234899328859061
124,3469220.0,0.5302013422818792
91,3472930.0,0.5369127516778524
38,3474080.0,0.5436241610738255
142,3481630.0,0.5503355704697986
65,3482820.0,0.5570469798657718
119,3484540.0,0.5637583892617449
23,3489380.0,0.5704697986577181
86,3499360.0,0.5771812080536913
121,3503010.0,0.5838926174496645
93,3510500.0,0.5906040268456376
47,3518620.0,0.5973154362416108
25,3548290.0,0.6040268456375839
78,3550340.0,0.610738255033557
31,3552290.0,0.6174496644295302
70,3570910.0,0.6241610738255033
50,3607970.0,0.6308724832214765
137,3635520.0,0.6375838926174496
123,3635580.0,0.6442953020134228
28,3640640.0,0.6510067114093959
53,3642020.0,0.6577181208053692
125,3655010.0,0.6644295302013423
15,3667140.0,0.6711409395973155
97,3682050.0,0.6778523489932886
92,3686050.0,0.6845637583892618
134,3694340.0,0.6912751677852349
61,3703940.0,0.697986577181208
144,3724100.0,0.7046979865771812
83,3727420.0,0.7114093959731543
90,3728860.0,0.7181208053691275
30,3730300.0,0.7248322147651006
85,3735300.0,0.7315436241610739
115,3780100.0,0.738255033557047
76,3791230.0,0.7449664429530202
143,3821920.0,0.7516778523489933
13,3826180.0,0.7583892617449665
79,3846910.0,0.7651006711409396
45,3849470.0,0.7718120805369127
57,3899170.0,0.7785234899328859
99,3900700.0,0.785234899328859
49,3962400.0,0.7919463087248322
40,4027940.0,0.7986577181208053
58,4047680.0,0.8053691275167785
88,4063710.0,0.8120805369127517
129,4080260.0,0.8187919463087249
136,4094590.0,0.825503355704698
27,4103140.0,0.8322147651006712
52,4121860.0,0.8389261744966443
73,4122620.0,0.8456375838926175
74,4136770.0,0.8523489932885906
95,4152060.0,0.8590604026845637
75,4204540.0,0.8657718120805369
128,4360100.0,0.87248322147651
37,4370270.0,0.8791946308724832
111,4411780.0,0.8859060402684564
51,4462500.0,0.8926174496644296
36,4502850.0,0.8993288590604027
42,4507330.0,0.9060402684563759
120,4566300.0,0.912751677852349
54,4641180.0,0.9194630872483222
96,4687490.0,0.9261744966442953
33,4770110.0,0.9328859060402684
77,4783740.0,0.9395973154362416
19,4788290.0,0.9463087248322147
118,4824580.0,0.9530201342281879
148,4867620.0,0.959731543624161
133,5002530.0,0.9664429530201343
112,5206340.0,0.9731543624161074
3,5285950.0,0.9798657718120806
34,5483100.0,0.9865771812080537
114,7244540.0,0.9932885906040269
113,21184100.0,1.0
