Interval start,Bitrate_bps,CDF
192,11288.0,0.0051813471502590676
0,719536.0,0.010362694300518135
51,747864.0,0.015544041450777202
4,760368.0,0.02072538860103627
171,768880.0,0.025906735751295335
136,769160.0,0.031088082901554404
3,781032.0,0.03626943005181347
150,784968.0,0.04145077720207254
12,786016.0,0.046632124352331605
190,792080.0,0.05181347150259067
174,794752.0,0.05699481865284974
42,797480.0,0.06217616580310881
7,802280.0,0.06735751295336788
48,804184.0,0.07253886010362694
183,808872.0,0.07772020725388601
166,809760.0,0.08290155440414508
21,813696.0,0.08808290155440414
180,816072.0,0.09326424870466321
153,817328.0,0.09844559585492228
39,817832.0,0.10362694300518134
139,819768.0,0.10880829015544041
27,821104.0,0.11398963730569948
60,827248.0,0.11917098445595854
111,836624.0,0.12435233160621761
178,839056.0,0.12953367875647667
6,845472.0,0.13471502590673576
187,849272.0,0.13989637305699482
169,851952.0,0.14507772020725387
120,856216.0,0.15025906735751296
138,858136.0,0.15544041450777202
102,858328.0,0.16062176165803108
157,864680.0,0.16580310880829016
160,868816.0,0.17098445595854922
1,879896.0,0.17616580310880828
141,882536.0,0.18134715025906736
123,884056.0,0.18652849740932642
99,887728.0,0.19170984455958548
76,888432.0,0.19689119170984457
132,890408.0,0.20207253886010362
162,894080.0,0.20725388601036268
90,894608.0,0.21243523316062177
93,904912.0,0.21761658031088082
69,905392.0,0.22279792746113988
135,913176.0,0.22797927461139897
36,917104.0,0.23316062176165803
168,917160.0,0.23834196891191708
144,917784.0,0.24352331606217617
58,918504.0,0.24870466321243523
159,920696.0,0.2538860103626943
186,923528.0,0.25906735751295334
63,924592.0,0.26424870466321243
189,925440.0,0.2694300518134715
145,927512.0,0.27461139896373055
37,928152.0,0.27979274611398963
30,930048.0,0.2849740932642487
129,931848.0,0.29015544041450775
127,941016.0,0.29533678756476683
177,941472.0,0.3005181347150259
15,944576.0,0.30569948186528495
18,946312.0,0.31088082901554404
147,948024.0,0.3160621761658031
72,948064.0,0.32124352331606215
148,951752.0,0.32642487046632124
33,955120.0,0.3316062176165803
46,955248.0,0.33678756476683935
68,956632.0,0.34196891191709844
118,962856.0,0.3471502590673575
57,964024.0,0.35233160621761656
106,964032.0,0.35751295336787564
55,964440.0,0.3626943005181347
133,964696.0,0.36787564766839376
10,966672.0,0.37305699481865284
88,969056.0,0.37823834196891193
165,969792.0,0.38341968911917096
34,970080.0,0.38860103626943004
156,971464.0,0.39378238341968913
109,974864.0,0.39896373056994816
114,982552.0,0.40414507772020725
75,987688.0,0.40932642487046633
184,991304.0,0.41450777202072536
45,993272.0,0.41968911917098445
181,993904.0,0.42487046632124353
97,998120.0,0.43005181347150256
175,998560.0,0.43523316062176165
85,1001860.0,0.44041450777202074
54,1002240.0,0.44559585492227977
163,1003940.0,0.45077720207253885
80,1004370.0,0.45595854922279794
142,1007620.0,0.46113989637305697
78,1016880.0,0.46632124352331605
25,1019200.0,0.47150259067357514
105,1021170.0,0.47668393782383417
172,1021560.0,0.48186528497409326
126,1025980.0,0.48704663212435234
70,1026700.0,0.49222797927461137
151,1027780.0,0.49740932642487046
66,1028370.0,0.5025906735751295
108,1031150.0,0.5077720207253886
96,1031470.0,0.5129533678756477
14,1032100.0,0.5181347150259067
43,1033070.0,0.5233160621761658
87,1039160.0,0.5284974093264249
154,1041840.0,0.533678756476684
82,1042020.0,0.538860103626943
115,1043580.0,0.5440414507772021
117,1046860.0,0.5492227979274611
84,1056820.0,0.5544041450777202
52,1059560.0,0.5595854922279793
130,1069220.0,0.5647668393782384
22,1081150.0,0.5699481865284974
124,1089570.0,0.5751295336787565
79,1095430.0,0.5803108808290155
9,1097620.0,0.5854922279792746
24,1100410.0,0.5906735751295337
94,1106540.0,0.5958549222797928
83,1112470.0,0.6010362694300518
91,1112830.0,0.6062176165803109
19,1115360.0,0.6113989637305699
40,1115930.0,0.616580310880829
49,1125060.0,0.6217616580310881
103,1126400.0,0.6269430051813472
100,1127470.0,0.6321243523316062
73,1127500.0,0.6373056994818653
61,1129950.0,0.6424870466321243
28,1132090.0,0.6476683937823834
121,1144170.0,0.6528497409326425
13,1144910.0,0.6580310880829016
64,1145320.0,0.6632124352331606
191,1145750.0,0.6683937823834197
17,1146210.0,0.6735751295336787
2,1158490.0,0.6787564766839378
31,1158680.0,0.6839378238341969
77,1175170.0,0.689119170984456
161,1187790.0,0.694300518134715
71,1188090.0,0.6994818652849741
5,1192250.0,0.7046632124352331
112,1192420.0,0.7098445595854922
81,1201890.0,0.7150259067357513
20,1204860.0,0.7202072538860104
23,1211090.0,0.7253886010362695
134,1211540.0,0.7305699481865285
65,1220360.0,0.7357512953367875
29,1222140.0,0.7409326424870466
137,1227930.0,0.7461139896373057
16,1241440.0,0.7512953367875648
59,1251900.0,0.7564766839378239
131,1263160.0,0.7616580310880829
113,1268910.0,0.7668393782383419
125,1270580.0,0.772020725388601
89,1272620.0,0.7772020725388601
8,1274360.0,0.7823834196891192
107,1274630.0,0.7875647668393783
188,1274940.0,0.7927461139896373
167,1277100.0,0.7979274611398963
170,1280680.0,0.8031088082901554
92,1283110.0,0.8082901554404145
140,1287460.0,0.8134715025906736
173,1287910.0,0.8186528497409327
53,1290110.0,0.8238341968911918
143,1290580.0,0.8290155440414507
86,1294110.0,0.8341968911917098
116,1295260.0,0.8393782383419689
185,1299060.0,0.844559585492228
158,1300580.0,0.8497409326424871
128,1305190.0,0.8549222797927462
155,1305720.0,0.8601036269430051
41,1305760.0,0.8652849740932642
98,1306830.0,0.8704663212435233
104,1308310.0,0.8756476683937824
110,1309740.0,0.8808290155440415
95,1312340.0,0.8860103626943006
176,1313060.0,0.8911917098445595
74,1313930.0,0.8963730569948186
67,1314680.0,0.9015544041450777
119,1314860.0,0.9067357512953368
149,1315850.0,0.9119170984455959
101,1317430.0,0.917098445595855
146,1321670.0,0.9222797927461139
32,1323530.0,0.927461139896373
122,1328360.0,0.9326424870466321
62,1330340.0,0.9378238341968912
164,1333110.0,0.9430051813471503
182,1337260.0,0.9481865284974094
26,1341500.0,0.9533678756476683
56,1343750.0,0.9585492227979274
50,1344760.0,0.9637305699481865
38,1345210.0,0.9689119170984456
44,1347800.0,0.9740932642487047
152,1383330.0,0.9792746113989638
47,1384360.0,0.9844559585492227
179,1411610.0,0.9896373056994818
11,1428590.0,0.9948186528497409
