Bitrate_bps,CDF
400.0,0.00026001040041601667
400.0,0.0005200208008320333
400.0,0.00078003120124805
400.0,0.0010400416016640667
400.0,0.0013000520020800832
400.0,0.0015600624024961
400.0,0.0018200728029121164
400.0,0.0020800832033281333
400.0,0.00234009360374415
400.0,0.0026001040041601664
400.0,0.002860114404576183
400.0,0.0031201248049922
400.0,0.0033801352054082163
400.0,0.003640145605824233
400.0,0.0039001560062402497
400.0,0.004160166406656267
400.0,0.004420176807072283
400.0,0.0046801872074883
400.0,0.004940197607904316
400.0,0.005200208008320333
400.0,0.00546021840873635
400.0,0.005720228809152366
400.0,0.005980239209568383
400.0,0.0062402496099844
400.0,0.006500260010400416
400.0,0.006760270410816433
400.0,0.0070202808112324495
400.0,0.007280291211648466
400.0,0.0075403016120644826
400.0,0.0078003120124804995
400.0,0.008060322412896516
400.0,0.008320332813312533
400.0,0.00858034321372855
400.0,0.008840353614144566
400.0,0.009100364014560582
400.0,0.0093603744149766
400.0,0.009620384815392615
400.0,0.009880395215808632
400.0,0.01014040561622465
400.0,0.010400416016640665
400.0,0.010660426417056681
400.0,0.0109204368174727
400.0,0.011180447217888715
400.0,0.011440457618304731
400.0,0.01170046801872075
400.0,0.011960478419136765
400.0,0.012220488819552781
400.0,0.0124804992199688
400.0,0.012740509620384815
400.0,0.013000520020800831
400.0,0.01326053042121685
400.0,0.013520540821632865
400.0,0.013780551222048881
400.0,0.014040561622464899
400.0,0.014300572022880915
400.0,0.014560582423296931
400.0,0.014820592823712949
400.0,0.015080603224128965
400.0,0.015340613624544981
400.0,0.015600624024960999
400.0,0.015860634425377017
400.0,0.01612064482579303
400.0,0.01638065522620905
400.0,0.016640665626625067
400.0,0.01690067602704108
400.0,0.0171606864274571
400.0,0.017420696827873113
400.0,0.01768070722828913
400.0,0.01794071762870515
400.0,0.018200728029121163
400.0,0.01846073842953718
400.0,0.0187207488299532
400.0,0.018980759230369213
400.0,0.01924076963078523
400.0,0.01950078003120125
400.0,0.019760790431617263
400.0,0.02002080083203328
400.0,0.0202808112324493
400.0,0.020540821632865313
400.0,0.02080083203328133
400.0,0.02106084243369735
400.0,0.021320852834113363
400.0,0.02158086323452938
400.0,0.0218408736349454
400.0,0.022100884035361413
400.0,0.02236089443577743
400.0,0.02262090483619345
400.0,0.022880915236609463
400.0,0.02314092563702548
400.0,0.0234009360374415
400.0,0.023660946437857513
400.0,0.02392095683827353
400.0,0.02418096723868955
400.0,0.024440977639105563
400.0,0.02470098803952158
400.0,0.0249609984399376
400.0,0.025221008840353613
400.0,0.02548101924076963
400.0,0.02574102964118565
400.0,0.026001040041601663
400.0,0.02626105044201768
400.0,0.0265210608424337
400.0,0.026781071242849713
400.0,0.02704108164326573
400.0,0.027301092043681748
400.0,0.027561102444097763
400.0,0.02782111284451378
400.0,0.028081123244929798
400.0,0.028341133645345813
400.0,0.02860114404576183
400.0,0.028861154446177848
400.0,0.029121164846593862
400.0,0.02938117524700988
400.0,0.029641185647425898
400.0,0.029901196047841912
400.0,0.03016120644825793
400.0,0.030421216848673948
400.0,0.030681227249089962
400.0,0.03094123764950598
400.0,0.031201248049921998
400.0,0.031461258450338016
400.0,0.031721268850754034
400.0,0.031981279251170044
400.0,0.03224128965158606
400.0,0.03250130005200208
400.0,0.0327613104524181
400.0,0.033021320852834116
400.0,0.033281331253250133
400.0,0.033541341653666144
400.0,0.03380135205408216
400.0,0.03406136245449818
400.0,0.0343213728549142
400.0,0.034581383255330216
400.0,0.034841393655746226
400.0,0.035101404056162244
400.0,0.03536141445657826
400.0,0.03562142485699428
400.0,0.0358814352574103
400.0,0.036141445657826315
400.0,0.036401456058242326
400.0,0.036661466458658344
400.0,0.03692147685907436
400.0,0.03718148725949038
400.0,0.0374414976599064
400.0,0.037701508060322415
400.0,0.037961518460738426
400.0,0.038221528861154444
400.0,0.03848153926157046
400.0,0.03874154966198648
400.0,0.0390015600624025
400.0,0.039261570462818515
400.0,0.039521580863234526
400.0,0.039781591263650544
400.0,0.04004160166406656
400.0,0.04030161206448258
400.0,0.0405616224648986
400.0,0.040821632865314615
400.0,0.041081643265730626
400.0,0.041341653666146644
400.0,0.04160166406656266
400.0,0.04186167446697868
400.0,0.0421216848673947
400.0,0.042381695267810715
400.0,0.042641705668226726
400.0,0.042901716068642744
400.0,0.04316172646905876
400.0,0.04342173686947478
400.0,0.0436817472698908
400.0,0.043941757670306815
400.0,0.044201768070722826
400.0,0.044461778471138844
400.0,0.04472178887155486
400.0,0.04498179927197088
400.0,0.0452418096723869
400.0,0.045501820072802915
400.0,0.045761830473218926
