Interval start,Bitrate_bps,CDF
22,1457780.0,0.009009009009009009
122,1588990.0,0.018018018018018018
24,1616700.0,0.02702702702702703
176,2036060.0,0.036036036036036036
26,2072500.0,0.04504504504504504
28,2306150.0,0.05405405405405406
62,2493760.0,0.06306306306306306
138,2886290.0,0.07207207207207207
118,3024600.0,0.08108108108108109
4,3154130.0,0.09009009009009009
180,3154930.0,0.0990990990990991
186,3221680.0,0.10810810810810811
50,3278040.0,0.11711711711711711
0,3301480.0,0.12612612612612611
78,3317360.0,0.13513513513513514
94,3361580.0,0.14414414414414414
114,3367530.0,0.15315315315315314
130,3374160.0,0.16216216216216217
194,3407450.0,0.17117117117117117
90,3424340.0,0.18018018018018017
204,3453070.0,0.1891891891891892
136,3457080.0,0.1981981981981982
2,3473780.0,0.2072072072072072
160,3490630.0,0.21621621621621623
64,3496620.0,0.22522522522522523
156,3500780.0,0.23423423423423423
6,3508010.0,0.24324324324324326
132,3532890.0,0.25225225225225223
168,3550710.0,0.26126126126126126
72,3560740.0,0.2702702702702703
60,3568330.0,0.27927927927927926
10,3586410.0,0.2882882882882883
190,3588460.0,0.2972972972972973
54,3590010.0,0.3063063063063063
66,3592020.0,0.3153153153153153
196,3616180.0,0.32432432432432434
162,3622390.0,0.3333333333333333
128,3637430.0,0.34234234234234234
14,3638240.0,0.35135135135135137
104,3644530.0,0.36036036036036034
100,3646190.0,0.36936936936936937
216,3652360.0,0.3783783783783784
188,3653400.0,0.38738738738738737
174,3657900.0,0.3963963963963964
218,3669500.0,0.40540540540540543
30,3677060.0,0.4144144144144144
152,3677840.0,0.42342342342342343
18,3685280.0,0.43243243243243246
8,3702620.0,0.44144144144144143
164,3710420.0,0.45045045045045046
98,3716670.0,0.4594594594594595
192,3719740.0,0.46846846846846846
106,3720060.0,0.4774774774774775
16,3725170.0,0.4864864864864865
96,3729440.0,0.4954954954954955
150,3732490.0,0.5045045045045045
214,3733350.0,0.5135135135135135
172,3743190.0,0.5225225225225225
140,3756120.0,0.5315315315315315
126,3766450.0,0.5405405405405406
208,3768670.0,0.5495495495495496
134,3770630.0,0.5585585585585585
148,3780770.0,0.5675675675675675
84,3787210.0,0.5765765765765766
200,3790730.0,0.5855855855855856
184,3793820.0,0.5945945945945946
86,3803880.0,0.6036036036036037
42,3806060.0,0.6126126126126126
108,3806940.0,0.6216216216216216
182,3816220.0,0.6306306306306306
220,3818410.0,0.6396396396396397
124,3833200.0,0.6486486486486487
52,3836220.0,0.6576576576576577
12,3875890.0,0.6666666666666666
82,3881740.0,0.6756756756756757
56,3887290.0,0.6846846846846847
74,3892700.0,0.6936936936936937
178,3895010.0,0.7027027027027027
206,3898980.0,0.7117117117117117
110,3899080.0,0.7207207207207207
198,3905540.0,0.7297297297297297
48,3912670.0,0.7387387387387387
146,3912750.0,0.7477477477477478
76,3923530.0,0.7567567567567568
210,3946490.0,0.7657657657657657
154,3967940.0,0.7747747747747747
202,3977300.0,0.7837837837837838
38,3981660.0,0.7927927927927928
158,3998850.0,0.8018018018018018
212,3999550.0,0.8108108108108109
88,4004270.0,0.8198198198198198
102,4006470.0,0.8288288288288288
80,4016740.0,0.8378378378378378
166,4027090.0,0.8468468468468469
46,4034160.0,0.8558558558558559
112,4042690.0,0.8648648648648649
58,4069220.0,0.8738738738738738
120,4074660.0,0.8828828828828829
44,4082170.0,0.8918918918918919
92,4083970.0,0.9009009009009009
40,4115970.0,0.9099099099099099
68,4137820.0,0.918918918918919
142,4217860.0,0.9279279279279279
170,4250270.0,0.9369369369369369
116,4284770.0,0.9459459459459459
144,4355210.0,0.954954954954955
20,4781880.0,0.963963963963964
36,5332780.0,0.972972972972973
70,5402920.0,0.9819819819819819
34,6286710.0,0.990990990990991
32,9741530.0,1.0
