Average_Bitrate_Mbps,CDF
0.0,0.0017761989342806395
0.07152,0.003552397868561279
0.079104,0.0053285968028419185
0.082736,0.007104795737122558
0.096128,0.008880994671403197
0.106368,0.010657193605683837
0.143392,0.012433392539964476
0.146112,0.014209591474245116
0.16352,0.015985790408525755
0.396672,0.017761989342806393
0.45216,0.019538188277087035
0.586624,0.021314387211367674
0.590016,0.023090586145648313
0.625312,0.02486678507992895
0.82368,0.02664298401420959
0.83856,0.028419182948490232
0.85312,0.03019538188277087
0.864032,0.03197158081705151
0.872656,0.03374777975133215
0.897536,0.035523978685612786
0.908976,0.037300177619893425
0.919552,0.03907637655417407
0.933952,0.04085257548845471
0.951648,0.04262877442273535
0.967392,0.04440497335701599
1.03184,0.046181172291296625
1.04821,0.047957371225577264
1.1288,0.0497335701598579
1.17978,0.05150976909413854
1.18077,0.05328596802841918
1.25536,0.055062166962699825
1.26518,0.056838365896980464
1.2825,0.0586145648312611
1.28365,0.06039076376554174
1.33718,0.06216696269982238
1.34792,0.06394316163410302
1.37024,0.06571936056838366
1.38416,0.0674955595026643
1.41763,0.06927175843694494
1.44147,0.07104795737122557
1.45533,0.07282415630550622
1.47226,0.07460035523978685
1.47315,0.0763765541740675
1.4928,0.07815275310834814
1.49779,0.07992895204262877
1.49946,0.08170515097690942
1.50147,0.08348134991119005
1.50624,0.0852575488454707
1.53955,0.08703374777975133
1.54189,0.08880994671403197
1.54947,0.0905861456483126
1.54957,0.09236234458259325
1.55085,0.0941385435168739
1.55322,0.09591474245115453
1.55462,0.09769094138543517
1.55728,0.0994671403197158
1.56016,0.10124333925399645
1.56432,0.10301953818827708
1.56592,0.10479573712255773
1.57018,0.10657193605683836
1.57293,0.108348134991119
1.57808,0.11012433392539965
1.58211,0.11190053285968028
1.58371,0.11367673179396093
1.58445,0.11545293072824156
1.58797,0.1172291296625222
1.588,0.11900532859680284
1.58963,0.12078152753108348
1.59254,0.12255772646536411
1.5952,0.12433392539964476
1.59766,0.1261101243339254
1.59952,0.12788632326820604
