Test,Tx Power,Distance,Senarios,RSSI (dbm),Throughput (KB/S),Throughput (Kbps),Current (A),Power (W),
131,p9,60,Lobby,-85,7.370333333,58.96266667,0.135,0.44685,
132,p9,0,Crowded,-43,11.07,88.56,0.135,0.44685,
133,p9,5,Crowded,-68,11.723,93.784,0.135,0.44685,
134,p9,10,Crowded,-65,6.156333333,49.25066667,0.135,0.44685,
135,p9,15,Crowded,-75,7.803453333,62.42762667,0.135,0.44685,
136,p9,0,Workshop,-50,13.10866667,104.8693333,0.135,0.44685,
137,p9,5,Workshop,-70,10.73466667,85.87733336,0.135,0.44685,
138,p9,10,Workshop,-70,7.858333333,62.86666666,0.137,0.45347,
139,p9,15,Workshop,-78,7.285666667,58.28533334,0.151,0.49981,
140,p9,20,Workshop,-79,7.145333333,57.16266666,0.164,0.54284,
141,p9,25,Workshop,-93,4.153,33.224,0.135,0.44685,
142,p9,30,Workshop,-94,4.339333333,34.71466667,0.135,0.44685,
