Interval start,Bitrate_bps,CDF
0,0.0,0.00847457627118644
234,117760.0,0.01694915254237288
64,2739080.0,0.025423728813559324
136,2875510.0,0.03389830508474576
130,2923710.0,0.0423728813559322
16,2991040.0,0.05084745762711865
74,3020090.0,0.059322033898305086
26,3035720.0,0.06779661016949153
174,3051400.0,0.07627118644067797
46,3060870.0,0.0847457627118644
180,3062140.0,0.09322033898305085
126,3073700.0,0.1016949152542373
140,3075370.0,0.11016949152542373
116,3094500.0,0.11864406779661017
122,3097860.0,0.1271186440677966
162,3099470.0,0.13559322033898305
82,3103450.0,0.1440677966101695
202,3122790.0,0.15254237288135594
228,3128340.0,0.16101694915254236
146,3131970.0,0.1694915254237288
54,3132740.0,0.17796610169491525
22,3149640.0,0.1864406779661017
206,3150780.0,0.19491525423728814
232,3160460.0,0.2033898305084746
112,3162890.0,0.211864406779661
216,3172550.0,0.22033898305084745
214,3189920.0,0.2288135593220339
96,3193420.0,0.23728813559322035
128,3202210.0,0.2457627118644068
60,3210580.0,0.2542372881355932
36,3226230.0,0.2627118644067797
170,3230300.0,0.2711864406779661
40,3232460.0,0.2796610169491525
188,3235660.0,0.288135593220339
220,3240250.0,0.2966101694915254
52,3246580.0,0.3050847457627119
80,3251560.0,0.3135593220338983
154,3253130.0,0.3220338983050847
98,3254380.0,0.3305084745762712
148,3258460.0,0.3389830508474576
56,3261400.0,0.3474576271186441
76,3266910.0,0.3559322033898305
32,3267060.0,0.3644067796610169
182,3270620.0,0.3728813559322034
106,3271100.0,0.3813559322033898
190,3292060.0,0.3898305084745763
210,3296620.0,0.3983050847457627
94,3301020.0,0.4067796610169492
196,3311680.0,0.4152542372881356
50,3318370.0,0.423728813559322
20,3321380.0,0.4322033898305085
192,3335500.0,0.4406779661016949
72,3335970.0,0.4491525423728814
38,3357120.0,0.4576271186440678
160,3362680.0,0.4661016949152542
70,3372220.0,0.4745762711864407
66,3374370.0,0.4830508474576271
18,3380900.0,0.4915254237288136
104,3403040.0,0.5
100,3408930.0,0.5084745762711864
230,3418100.0,0.5169491525423728
108,3420170.0,0.5254237288135594
58,3422500.0,0.5338983050847458
186,3428460.0,0.5423728813559322
86,3429620.0,0.5508474576271186
30,3430570.0,0.559322033898305
152,3431650.0,0.5677966101694916
224,3433660.0,0.576271186440678
158,3434590.0,0.5847457627118644
168,3437480.0,0.5932203389830508
198,3437960.0,0.6016949152542372
132,3439200.0,0.6101694915254238
44,3440350.0,0.6186440677966102
144,3444200.0,0.6271186440677966
110,3463590.0,0.635593220338983
178,3469220.0,0.6440677966101694
84,3473660.0,0.652542372881356
184,3478820.0,0.6610169491525424
120,3483390.0,0.6694915254237288
138,3490240.0,0.6779661016949152
134,3494440.0,0.6864406779661016
102,3498690.0,0.6949152542372882
172,3502460.0,0.7033898305084746
194,3512500.0,0.711864406779661
166,3513440.0,0.7203389830508474
208,3518780.0,0.7288135593220338
142,3550350.0,0.7372881355932204
88,3566780.0,0.7457627118644068
90,3577740.0,0.7542372881355932
42,3580100.0,0.7627118644067796
204,3593160.0,0.7711864406779662
34,3609700.0,0.7796610169491526
124,3618340.0,0.788135593220339
176,3645900.0,0.7966101694915254
226,3649660.0,0.8050847457627118
48,3670480.0,0.8135593220338984
92,3671900.0,0.8220338983050848
62,3686470.0,0.8305084745762712
68,3692580.0,0.8389830508474576
164,3702720.0,0.847457627118644
24,3702780.0,0.8559322033898306
78,3707140.0,0.864406779661017
150,3715620.0,0.8728813559322034
222,3721720.0,0.8813559322033898
200,3751810.0,0.8898305084745762
156,3777500.0,0.8983050847457628
218,3788160.0,0.9067796610169492
114,3888530.0,0.9152542372881356
212,4156370.0,0.923728813559322
118,4282060.0,0.9322033898305084
28,4462880.0,0.940677966101695
6,8166450.0,0.9491525423728814
2,8457350.0,0.9576271186440678
14,10082200.0,0.9661016949152542
4,12160700.0,0.9745762711864406
12,12722400.0,0.9830508474576272
8,15267300.0,0.9915254237288136
10,16953300.0,1.0
