Bitrate_bps,CDF
2160.0,0.00016616816218012627
2160.0,0.00033233632436025255
2160.0,0.0004985044865403788
2160.0,0.0006646726487205051
2160.0,0.0008308408109006315
2160.0,0.0009970089730807576
2160.0,0.001163177135260884
2160.0,0.0013293452974410102
2160.0,0.0014955134596211367
2160.0,0.001661681621801263
2160.0,0.0018278497839813892
2160.0,0.0019940179461615153
2160.0,0.002160186108341642
2160.0,0.002326354270521768
3280.0,0.0024925224327018943
3280.0,0.0026586905948820204
3440.0,0.002824858757062147
3440.0,0.0029910269192422734
3440.0,0.0031571950814223994
3440.0,0.003323363243602526
3440.0,0.003489531405782652
3440.0,0.0036556995679627785
3440.0,0.0038218677301429045
4320.0,0.003988035892323031
5600.0,0.004154204054503157
5600.0,0.004320372216683284
5600.0,0.00448654037886341
6640.0,0.004652708541043536
7280.0,0.004818876703223662
7760.0,0.004985044865403789
7920.0,0.005151213027583915
8160.0,0.005317381189764041
8720.0,0.005483549351944167
9280.0,0.005649717514124294
9440.0,0.00581588567630442
9440.0,0.005982053838484547
9440.0,0.006148222000664672
11120.0,0.006314390162844799
11200.0,0.006480558325024925
13040.0,0.006646726487205052
13600.0,0.0068128946493851775
13760.0,0.006979062811565304
14960.0,0.0071452309737454305
15200.0,0.007311399135925557
15360.0,0.007477567298105683
16720.0,0.007643735460285809
17600.0,0.0078099036224659356
17600.0,0.007976071784646061
18720.0,0.008142239946826188
20080.0,0.008308408109006314
20160.0,0.00847457627118644
22000.0,0.008640744433366567
22320.0,0.008806912595546694
22560.0,0.00897308075772682
22560.0,0.009139248919906947
22560.0,0.009305417082087071
22560.0,0.009471585244267198
22560.0,0.009637753406447324
22560.0,0.00980392156862745
22560.0,0.009970089730807577
22560.0,0.010136257892987704
22560.0,0.01030242605516783
22560.0,0.010468594217347957
22560.0,0.010634762379528082
22560.0,0.010800930541708208
22560.0,0.010967098703888335
22560.0,0.011133266866068461
22560.0,0.011299435028248588
22560.0,0.011465603190428714
22560.0,0.01163177135260884
22560.0,0.011797939514788967
22560.0,0.011964107676969093
22560.0,0.012130275839149218
22560.0,0.012296444001329345
22560.0,0.012462612163509471
22560.0,0.012628780325689598
22560.0,0.012794948487869724
22560.0,0.01296111665004985
22560.0,0.013127284812229977
22560.0,0.013293452974410104
22560.0,0.013459621136590228
22560.0,0.013625789298770355
22560.0,0.013791957460950481
22560.0,0.013958125623130608
22560.0,0.014124293785310734
22560.0,0.014290461947490861
22560.0,0.014456630109670987
22560.0,0.014622798271851114
22560.0,0.01478896643403124
22560.0,0.014955134596211365
22560.0,0.015121302758391492
22560.0,0.015287470920571618
22560.0,0.015453639082751745
22640.0,0.015619807244931871
22720.0,0.015785975407111998
22880.0,0.015952143569292122
23840.0,0.01611831173147225
23840.0,0.016284479893652375
24720.0,0.016450648055832504
25120.0,0.01661681621801263
26000.0,0.016782984380192757
26080.0,0.01694915254237288
26560.0,0.017115320704553006
26560.0,0.017281488866733134
27680.0,0.01744765702891326
27680.0,0.017613825191093387
27680.0,0.017779993353273512
27680.0,0.01794616151545364
27680.0,0.018112329677633765
28800.0,0.018278497839813893
28800.0,0.018444666001994018
28800.0,0.018610834164174143
28800.0,0.01877700232635427
28800.0,0.018943170488534396
28960.0,0.019109338650714524
29040.0,0.01927550681289465
29040.0,0.019441674975074777
29040.0,0.0196078431372549
30080.0,0.01977401129943503
30240.0,0.019940179461615155
30240.0,0.02010634762379528
30960.0,0.020272515785975408
31520.0,0.020438683948155532
31680.0,0.02060485211033566
32480.0,0.020771020272515785
32480.0,0.020937188434695914
32480.0,0.02110335659687604
32480.0,0.021269524759056163
32480.0,0.02143569292123629
32480.0,0.021601861083416416
32800.0,0.021768029245596544
32800.0,0.02193419740777667
34080.0,0.022100365569956797
34080.0,0.022266533732136922
34400.0,0.02243270189431705
35360.0,0.022598870056497175
35440.0,0.0227650382186773
36000.0,0.022931206380857428
36000.0,0.023097374543037553
36640.0,0.02326354270521768
37440.0,0.023429710867397806
37440.0,0.023595879029577934
37520.0,0.02376204719175806
37920.0,0.023928215353938187
37920.0,0.024094383516118312
37920.0,0.024260551678298437
