Bitrate_bps,Average_CDF
0.0,0.005855779616117093
2501.250625312656,0.03311695413002806
5002.501250625312,0.03836633215724555
7503.751875937969,0.0481981992169752
10005.002501250625,0.05544235389360265
12506.25312656328,0.05700480621671619
15007.503751875938,0.0584395884517734
17508.754377188594,0.06596675659196843
20010.00500250125,0.0667426664716989
22511.255627813905,0.06751857635142935
25012.50625312656,0.06816159781397356
27513.756878439217,0.06857483996999782
30015.007503751876,0.06898808212602209
32516.258129064532,0.06940132428204634
35017.50875437719,0.06981456643807059
37518.75937968984,0.07022780859409485
40020.0100050025,0.0706410507501191
42521.260630315155,0.07100378059477211
45022.51125562781,0.07136351576017397
47523.76188094047,0.07172325092557581
50025.01250625312,0.0722544140494226
52526.26313156578,0.07281183109375076
55027.513756878434,0.07336924813807894
57528.76438219109,0.0739266651824071
60030.01500750375,0.07448408222673528
62531.26563281641,0.07504149927106346
65032.516258129064,0.07562940905712162
67533.76688344171,0.0762850468257697
70035.01750875438,0.07694068459441777
72536.26813406702,0.07763182290901663
75037.51875937969,0.07834350912101143
77538.76938469234,0.0789625243544859
80040.020010005,0.07953101948246083
82541.27063531766,0.08070857318738134
85042.52126063031,0.0819628956621979
87543.77188594297,0.08321721813701448
90045.02251125562,0.08631254864097337
92546.27313656828,0.08838211158760721
95047.52376188093,0.09148049642274816
97548.7743871936,0.09436282658481449
100050.02501250624,0.09559491721146486
102551.27563781891,0.0965241408800289
105052.52626313156,0.09744279112277307
107553.77688844422,0.09833046617115364
110055.02751375687,0.09921814121953419
112556.27813906953,0.10009788560353969
115057.52876438218,0.1004922249760653
117558.77938969484,0.1007896072873553
120060.0300150075,0.10108698959864527
122561.28064032015,0.10138437190993525
125062.53126563282,0.10168175422122525
127563.78189094547,0.10224519953645783
130065.03251625813,0.10308109941291045
132566.28314157078,0.10370759305269844
135067.53376688343,0.10402298586830122
137568.7843921961,0.104338378683904
140070.03501750875,0.10465377149950678
142571.2856428214,0.10496916431510954
145072.53626813405,0.10528455713071233
147573.78689344673,0.1055999499463151
150075.03751875937,0.10591534276191789
152576.28814407202,0.10623073557752064
155077.53876938467,0.10654612839312341
157578.78939469735,0.10686152120872619
160080.04002001,0.10729966263827022
162581.29064532265,0.10786407538950213
165082.54127063532,0.10842848814073405
167583.79189594797,0.10899290089196596
170085.04252126062,0.10955731364319787
172586.29314657327,0.11012172639442978
175087.54377188595,0.11063783369535628
177588.7943971986,0.11119951679573552
180090.04502251124,0.11169459729379867
182591.2956478239,0.11221840806514602
185092.54627313657,0.11290496857219451
187593.79689844922,0.113591529079243
190095.04752376187,0.11427808958629146
192596.29814907452,0.11511851237583104
195097.5487743872,0.11598692255772859
197598.79939969984,0.1168061659178721
200100.0500250125,0.11757400478473051
202601.30065032517,0.11814653546420824
205102.55127563782,0.11870635441388308
207603.80190095046,0.11926617336355794
210105.0525262631,0.11982599231323278
212606.3031515758,0.12038581126290764
215107.55377688844,0.12094563021258248
217608.8044022011,0.12212482078952874
220110.05502751374,0.12391554294541361
222611.3056528264,0.12787770637199455
225112.55627813906,0.12885140884839713
227613.8069034517,0.1298251113247998
230115.05752876436,0.1307988138012024
232616.30815407704,0.1315709832632183
235117.55877938968,0.13218478180053528
237618.80940470233,0.1328318497604088
240120.060030015,0.13347891772028236
242621.31065532766,0.13412598568015588
245122.5612806403,0.13477305364002945
247623.81190595296,0.13542012159990297
250125.06253126563,0.1360001748219728
252626.31315657828,0.136472102026294
255127.56378189093,0.13694402923061516
257628.81440720358,0.1374010168807156
260130.06503251626,0.1379884021102265
262631.3156578289,0.1390124409969934
265132.56628314155,0.14063801266056214
267633.81690845423,0.1419064312986152
270135.06753376685,0.14275435190581354
272636.3181590795,0.1432611604485642
275137.5687843922,0.14372414367986958
277638.8194097048,0.1441871269111749
280140.0700350175,0.1446501101424803
282641.3206603302,0.14511309337378564
285142.5712856428,0.14557607660509103
287643.8219109555,0.1460390598363964
290145.0725362681,0.14692751026366557
292646.3231615808,0.14795452114188729
295147.57378689345,0.148981532020109
297648.8244122061,0.14988667173759584
300150.07503751875,0.1507818940831953
302651.3256628314,0.15176564116399494
305152.57628814405,0.1530553036763821
307653.8269134567,0.15427962891291153
310155.07753876934,0.15647404749013188
312656.328164082,0.15716015585715662
315157.5787893947,0.15784626422418135
317658.8294147073,0.15854960677494095
320160.08004002,0.15929518408282012
322661.3306653327,0.1600485149609589
325162.5812906453,0.1607646454259804
327663.83191595797,0.16144211703797756
330165.08254127065,0.16211958864997472
332666.33316658327,0.16279706026197185
335167.58379189594,0.16448337032622004
337668.83441720856,0.16594054752763948
340170.08504252124,0.16690945263380214
342671.3356678339,0.16758337138723972
345172.58629314654,0.16825729014067736
347673.8369184592,0.16893120889411498
350175.0875437719,0.1696051276475526
352676.3381690845,0.17027904640099017
355177.5887943972,0.17102901636865697
357678.8394197098,0.17178110081203546
360180.0900450225,0.172533185255414
362681.34067033516,0.1734859963488911
365182.5912956478,0.17490400270073084
